Id,breadwinner_ns__TranDate__c
a9aDo000000DOYuIAO,2022-07-01
a9aDo000000DOZRIA4,2022-02-01
a9aDo000000DOZNIA4,2021-06-01
a9aDo000000DOZOIA4,2022-03-01
a9aDo000000DOZ1IAO,2022-01-01
a9aDo000000DOZPIA4,2021-12-01
a9aDo000000DOZMIA4,2022-11-01
a9aDo000000DOZKIA4,2022-08-01
a9aDo000000DOZXIA4,2021-11-01
a9aDo000000DOZQIA4,2021-04-01
a9aDo000000DOZVIA4,2022-07-01
a9aDo000000DOZWIA4,2022-01-01
a9aDo000000DOYsIAO,2021-09-01
a9aDo000000DOYwIAO,2021-03-01
a9aDo000000DOZeIAO,2021-11-01
a9aDo000000DOZlIAO,2021-12-01
a9aDo000000DOaOIAW,2021-07-01
a9aDo000000DOaUIAW,2022-02-01
a9aDo000000DOaWIAW,2022-10-01
a9aDo000000DOZ8IAO,2021-11-01
a9aDo000000DOaQIAW,2021-12-01
a9aDo000000DOZAIA4,2022-03-01
a9aDo000000DOZCIA4,2022-06-01
a9aDo000000DOaNIAW,2023-02-01
a9aDo000000DOaSIAW,2021-12-01
a9aDo000000DOaLIAW,2021-03-01
a9aDo000000DOaMIAW,2022-02-01
a9aDo000000DOZrIAO,2021-08-01
a9aDo000000DOZtIAO,2021-12-01
a9aDo000000DOaTIAW,2021-06-01
a9aDo000000DOZvIAO,2022-01-01
a9aDo000000DOaCIAW,2022-10-01
a9aDo000000DOajIAG,2022-03-01
a9aDo000000DOb5IAG,2021-03-01
a9aDo000000DOa5IAG,2021-06-01
a9aDo000000DOb8IAG,2022-09-01
a9aDo000000DObDIAW,2022-07-01
a9aDo000000DObPIAW,2021-03-01
a9aDo000000DObKIAW,2021-03-01
a9aDo000000DObLIAW,2022-06-01
a9aDo000000DObNIAW,2022-01-01
a9aDo000000DObJIAW,2021-05-01
a9aDo000000DObHIAW,2022-11-01
a9aDo000000DObMIAW,2021-06-01
a9aDo000000DObcIAG,2023-02-01
a9aDo000000DObgIAG,2021-12-01
a9aDo000000DObhIAG,2022-07-01
a9aDo000000DObpIAG,2021-09-01
a9aDo000000DOboIAG,2021-06-01
a9aDo000000DObyIAG,2023-01-01
a9aDo000000DOaXIAW,2022-04-01
a9aDo000000DOafIAG,2022-03-01
a9aDo000000DOakIAG,2022-03-01
a9aDo000000DOaeIAG,2022-04-01
a9aDo000000DOapIAG,2021-07-01
a9aDo000000DOXiIAO,2022-05-01
a9aDo000000DOXdIAO,2021-10-01
a9aDo000000DOXkIAO,2021-08-01
a9aDo000000DOXlIAO,2022-11-01
