Family,Id,CurrencyIsoCode,IsActive
DCC Geo,01tDI000000At39YAC,USD,true
DCC Geo,01tDI000000At3AYAS,USD,true
DCC Geo,01tDI000000At3BYAS,USD,true
DCC Geo,01tDI000000At3CYAS,USD,true
DCC Geo,01tDI000000At3DYAS,USD,true
DCC Geo,01tDI000000At3EYAS,USD,true
DCC Geo,01tDI000000At3FYAS,USD,true
DCC Geo,01tDI000000At3GYAS,USD,true
DCC Geo,01tDI000000At3HYAS,USD,true
DCC Geo,01tDI000000At3IYAS,USD,true
DCC Geo,01tDI000000At3JYAS,USD,true
DCC Geo,01tDI000000At3KYAS,USD,true
DCC Geo,01tDI000000At3LYAS,USD,true
DCC Geo,01tDI000000At3MYAS,USD,true
DCC Geo,01tDI000000At3NYAS,USD,true
DCC Geo,01tDI000000At3OYAS,USD,true
DCC Geo,01tDI000000At3PYAS,USD,true
DCC Geo,01tDI000000At3QYAS,USD,true
DCC Geo,01tDI000000At3RYAS,USD,true
DCC Geo,01tDI000000At3SYAS,USD,true
DCC Geo,01tDI000000At3TYAS,USD,true
DCC Geo,01tDI000000At3UYAS,USD,true
DCC Geo,01tDI000000At3VYAS,USD,true
DCC Geo,01tDI000000At3WYAS,USD,true
DCC Geo,01tDI000000At3XYAS,USD,true
DCC Geo,01tDI000000At3YYAS,USD,true
DCC Geo,01tDI000000At3ZYAS,USD,true
DCC Geo,01tDI000000At3aYAC,USD,true
DCC Geo,01tDI000000At3bYAC,USD,true
DCC Geo,01tDI000000At3cYAC,USD,true
DCC Geo,01tDI000000At3dYAC,USD,true
DCC Geo,01tDI000000At3eYAC,USD,true
DCC Geo,01tDI000000At3fYAC,USD,true
DCC Geo,01tDI000000At3gYAC,USD,true
DCC Geo,01tDI000000At3hYAC,USD,true
DCC Geo,01tDI000000At3iYAC,USD,true
DCC Geo,01tDI000000At3jYAC,USD,true
DCC Geo,01tDI000000At3kYAC,USD,true
DCC Geo,01tDI000000At3lYAC,USD,true
DCC Geo,01tDI000000At3mYAC,USD,true
DCC Geo,01tDI000000At3nYAC,USD,true
DCC Geo,01tDI000000At3oYAC,USD,true
DCC Geo,01tDI000000At3pYAC,USD,true
DCC Geo,01tDI000000At3qYAC,USD,true
DCC Geo,01tDI000000At3rYAC,USD,true
DCC Geo,01tDI000000At3sYAC,USD,true
DCC Geo,01tDI000000At3tYAC,USD,true
DCC Geo,01tDI000000At3uYAC,USD,true
DCC Geo,01tDI000000At3vYAC,USD,true
DCC Geo,01tDI000000At3wYAC,USD,true
DCC Geo,01tDI000000At3xYAC,USD,true
DCC Geo,01tDI000000At3yYAC,USD,true
DCC Geo,01tDI000000At3zYAC,USD,true
DCC Geo,01tDI000000At40YAC,USD,true
DCC Geo,01tDI000000At41YAC,USD,true
DCC Geo,01tDI000000At42YAC,USD,true
DCC Geo,01tDI000000At43YAC,USD,true
DCC Geo,01tDI000000At44YAC,USD,true
DCC Geo,01tDI000000At45YAC,USD,true
DCC Geo,01tDI000000At46YAC,USD,true
DCC Geo,01tDI000000At47YAC,USD,true
DCC Geo,01tDI000000At48YAC,USD,true
DCC Geo,01tDI000000At49YAC,USD,true
DCC Geo,01tDI000000At4AYAS,USD,true
DCC Geo,01tDI000000At4BYAS,USD,true
DCC Geo,01tDI000000At4CYAS,USD,true
DCC Geo,01tDI000000At4DYAS,USD,true
DCC Geo,01tDI000000At4EYAS,USD,true
DCC Geo,01tDI000000At4FYAS,USD,true
DCC Geo,01tDI000000At4GYAS,USD,true
DCC Geo,01tDI000000At4HYAS,USD,true
DCC Geo,01tDI000000At4IYAS,USD,true
DCC Geo,01tDI000000At4JYAS,USD,true
DCC Geo,01tDI000000At4KYAS,USD,true
DCC Geo,01tDI000000At4LYAS,USD,true
DCC Geo,01tDI000000At4MYAS,USD,true
DCC Geo,01tDI000000At4NYAS,USD,true
DCC Geo,01tDI000000At4OYAS,USD,true
DCC Geo,01tDI000000At4PYAS,USD,true
DCC Geo,01tDI000000At4QYAS,USD,true
DCC Geo,01tDI000000At4RYAS,USD,true
DCC Geo,01tDI000000At4SYAS,USD,true
DCC Geo,01tDI000000At4TYAS,USD,true
DCC Geo,01tDI000000At4UYAS,USD,true
DCC Geo,01tDI000000At4VYAS,USD,true
DCC Geo,01tDI000000At4WYAS,USD,true
DCC Geo,01tDI000000At4XYAS,USD,true
DCC Geo,01tDI000000At4YYAS,USD,true
DCC Geo,01tDI000000At4ZYAS,USD,true
DCC Geo,01tDI000000At4aYAC,USD,true
DCC Geo,01tDI000000At4bYAC,USD,true
DCC Geo,01tDI000000At4cYAC,USD,true
DCC Geo,01tDI000000At4dYAC,USD,true
DCC Geo,01tDI000000At4eYAC,USD,true
DCC Geo,01tDI000000At4fYAC,USD,true
DCC Geo,01tDI000000At4gYAC,USD,true
DCC Geo,01tDI000000At4hYAC,USD,true
DCC Geo,01tDI000000At4iYAC,USD,true
DCC Geo,01tDI000000At4jYAC,USD,true
DCC Geo,01tDI000000At4kYAC,USD,true
DCC Geo,01tDI000000At4lYAC,USD,true
DCC Geo,01tDI000000At4mYAC,USD,true
DCC Geo,01tDI000000At4nYAC,USD,true
DCC Geo,01tDI000000At4oYAC,USD,true
DCC Geo,01tDI000000At4pYAC,USD,true
DCC Geo,01tDI000000At4qYAC,USD,true
DCC Geo,01tDI000000At4rYAC,USD,true
DCC Geo,01tDI000000At4sYAC,USD,true
DCC Geo,01tDI000000At4tYAC,USD,true
DCC Geo,01tDI000000At4uYAC,USD,true
