LastModifiedDate,SBQQ__RecordId__c,SBQQ__RedirectUrl__c,SBQQ__Stacktrace__c,SBQQ__JobDetails__c,SBQQ__JobStatus__c,Name,SBQQ__IsRead__c,SBQQ__JobId__c
2023-04-27T23:21:34.000+0000,800Do000000xJvcIAE::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1170146-2869180425-2869198134 has unrecognized segment type ""null"".",Failed,JOB00032514,false,707Do00000kk4RC
2023-04-27T23:18:06.000+0000,800Do000000xPGZIA2::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1682537-2869182427-2869226141 has unrecognized segment type ""null"".",Failed,JOB00024467,false,707Do00000kk5K7
2023-04-27T23:13:19.000+0000,800Do000000xIdzIAE::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1327243-2869053034 has unrecognized segment type ""null"".",Failed,JOB00033697,false,707Do00000kk48U
2023-04-27T21:51:17.000+0000,800Do000000xJiqIAE::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00062738,false,707Do00000kjzke
2023-04-27T21:51:17.000+0000,800Do000000xLE7IAM::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00062739,false,707Do00000kjzke
2023-04-27T21:51:04.000+0000,800Do000000xNvhIAE::RenewContract,,,Cannot read property 'lineVO' of null,Failed,JOB00074025,false,707Do00000kk1Ei
2023-04-27T21:51:04.000+0000,800Do000000xMarIAE::RenewContract,,,Cannot read property 'lineVO' of null,Failed,JOB00074023,false,707Do00000kk1Ei
2023-04-27T16:31:04.000+0000,800Do000000xCssIAE::AmendContract,,,"One or more of the MDQ segments on your amendment quote is missing or has a quantity of 0. For help, contact your Salesforce admin.",Failed,JOB00079633,false,707Do00000kjbym
2023-04-26T18:44:40.000+0000,800Do000000xLCmIAM::RenewContract,,,Cannot read property 'MasterContract__c' of undefined,Failed,JOB00062716,false,707Do00000kiG54
2023-04-26T15:38:46.000+0000,801Do000000xzyHIAQ::CreateContract,,,"Update failed. First exception on row 0 with id 800Do000000xN6OIAU; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the ΓÇ£Contract - After UpdateΓÇ¥ process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_EXECUTE_FLOW_TRIGGER: We can't save this record because the ΓÇ£Order - After UpdateΓÇ¥ process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: SBQQ.QuoteAfter: execution of AfterUpdate

caused by: System.CalloutException: Callout from triggers are currently not supported.

(System Code). You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1172150378-41541 (770559332)ook up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1172150378-41541 (770559332). You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1172150378-41542 (-68063199)ook up ExceptionCode values in the SOAP API Developer Guide. Error ID: 1172150378-41542 (-68063199): []",Failed,JOB00076607,false,707Do00000khxGp
2023-04-25T19:38:15.000+0000,800Do000000x9lPIAQ::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00040119,false,707Do00000jXeQH
2023-04-25T17:48:48.000+0000,800Do000000xKSvIAM::RenewContract,,,Cannot read property 'MasterContract__c' of undefined,Failed,JOB00036346,false,707Do00000jXWzD
2023-04-25T17:48:48.000+0000,800Do000000xPEIIA2::RenewContract,,,Cannot read property 'MasterContract__c' of undefined,Failed,JOB00036357,false,707Do00000jXWzD
2023-04-25T14:23:25.000+0000,800Do000000tPoEIAU::RenewContract,,,"Error while creating Quote Record:<!DOCTYPE html>
<html>
  <head>
    <meta name=""viewport"" content=""width=device-width, initial-scale=1"">
    <meta charset=""utf-8"">
    <title>Application Error</title>
    <style media=""screen"">
      html,body,iframe {
        margin: 0;
        padding: 0;
      }

      html,body {
        height: 100%;
        overflow: hidden;
      }

      iframe {
        width: 100%;
        height: 100%;
        border: 0;
      }
    </style>
  </head>
  <body>
    <iframe src=""//www.herokucdn.com/error-pages/application-error.html""></iframe>
  </body>
</html>",Failed,JOB00075765,false,707Do00000jXFJD
2023-04-25T12:57:47.000+0000,800Do000000tPmmIAE::RenewContract,,,Error creating Opportunity:operation performed with inactive user [0053i000002SZlM] as owner of opportunity,Failed,JOB00075705,false,707Do00000jX7RX
2023-04-24T17:51:32.000+0000,800Do000000xJ9kIAE::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00034411,false,707Do00000jW35M
2023-04-22T14:36:59.000+0000,800Do000000xNbMIAU::AmendContract,,,Error: LineItemConvertible with key MDQ_761915-2869043612-2869106991 has no associated records. Please contact your Salesforce CPQ Admin.,Failed,JOB00075121,false,707Do00000jU5Qp
2023-04-21T22:43:48.000+0000,801Do000000xx3bIAA::CreateContract,,,"You do not have read permission for field Bill To Contact ID on object CPQ Order. Please contact your administrator.
You do not have read permission for field CPQ Order Reference Number on object CPQ Order. Please contact your administrator.
You do not have read permission for field PO Date on object CPQ Order. Please contact your administrator.
You do not have read permission for field PO Number on object CPQ Order. Please contact your administrator.",Failed,JOB00075079,false,707Do00000iBid1
2023-04-21T16:41:23.000+0000,800Do000000xNieIAE::AmendContract,,,"One or more of the MDQ segments on your amendment quote is missing or has a quantity of 0. For help, contact your Salesforce admin.",Failed,JOB00074878,false,707Do00000iBFa7
2023-04-20T14:57:51.000+0000,800Do000000xHFGIA2::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00030698,false,707Do00000i9m12
2023-04-19T21:41:43.000+0000,800Do000000xIH7IAM::RenewContract,,,Error: LineItemConvertible with key MDQ_768810-2869040026-2869092529 has no associated records. Please contact your Salesforce CPQ Admin.,Failed,JOB00073794,false,707Do00000i8v8U
2023-04-19T21:41:43.000+0000,800Do000000xDxxIAE::RenewContract,,,Error: LineItemConvertible with key MDQ_768810-2869040026-2869092529 has no associated records. Please contact your Salesforce CPQ Admin.,Failed,JOB00073793,false,707Do00000i8v8U
2023-04-19T21:41:43.000+0000,800Do000000xK6eIAE::RenewContract,,,Error: LineItemConvertible with key MDQ_768810-2869040026-2869092529 has no associated records. Please contact your Salesforce CPQ Admin.,Failed,JOB00073795,false,707Do00000i8v8U
2023-04-19T21:41:43.000+0000,800Do000000xL9XIAU::RenewContract,,,Error: LineItemConvertible with key MDQ_768810-2869040026-2869092529 has no associated records. Please contact your Salesforce CPQ Admin.,Failed,JOB00073796,false,707Do00000i8v8U
2023-04-19T21:41:43.000+0000,800Do000000xMR7IAM::RenewContract,,,Error: LineItemConvertible with key MDQ_768810-2869040026-2869092529 has no associated records. Please contact your Salesforce CPQ Admin.,Failed,JOB00073797,false,707Do00000i8v8U
2023-04-19T21:40:58.000+0000,800Do000000xIEgIAM::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1708836-2869049168 has unrecognized segment type ""null"".",Failed,JOB00073853,false,707Do00000i8vbQ
2023-04-19T21:40:58.000+0000,800Do000000xLLxIAM::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1708836-2869049168 has unrecognized segment type ""null"".",Failed,JOB00073856,false,707Do00000i8vbQ
2023-04-19T21:40:58.000+0000,800Do000000xM3bIAE::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1708836-2869049168 has unrecognized segment type ""null"".",Failed,JOB00073857,false,707Do00000i8vbQ
2023-04-19T21:40:58.000+0000,800Do000000xN6mIAE::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1708836-2869049168 has unrecognized segment type ""null"".",Failed,JOB00073858,false,707Do00000i8vbQ
2023-04-19T21:40:42.000+0000,800Do000000xPQkIAM::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00025270,false,707Do00000i8vb4
2023-04-19T21:40:19.000+0000,800Do000000xLgdIAE::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00073996,false,707Do00000i8vqX
2023-04-19T21:40:19.000+0000,800Do000000xKaUIAU::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00073995,false,707Do00000i8vqX
2023-04-19T21:40:18.000+0000,800Do000000xMfvIAE::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1619027-2869038893 has unrecognized segment type ""null"".",Failed,JOB00073924,false,707Do00000i8vqS
2023-04-19T21:40:18.000+0000,800Do000000xLpTIAU::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1619027-2869038893 has unrecognized segment type ""null"".",Failed,JOB00073923,false,707Do00000i8vqS
2023-04-19T21:40:16.000+0000,800Do000000xKHsIAM::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000003BVFj] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00073961,false,707Do00000i8vfw
2023-04-19T21:40:16.000+0000,800Do000000xKHtIAM::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000003BVFj] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00073962,false,707Do00000i8vfw
2023-04-19T21:40:06.000+0000,800Do000000xOD5IAM::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1701336-2869049220 has unrecognized segment type ""null"".",Failed,JOB00073849,false,707Do00000i8vo8
2023-04-19T21:40:06.000+0000,800Do000000xJeLIAU::RenewContract,,,"ERROR: MDQ Product with segment key MDQ_1701336-2869049220 has unrecognized segment type ""null"".",Failed,JOB00073848,false,707Do00000i8vo8
2023-04-19T21:40:05.000+0000,800Do000000xMECIA2::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074266,false,707Do00000i8vU6
2023-04-19T21:40:05.000+0000,800Do000000xLp3IAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074265,false,707Do00000i8vU6
2023-04-19T21:40:05.000+0000,800Do000000xOiAIAU::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074267,false,707Do00000i8vU6
2023-04-19T21:40:05.000+0000,800Do000000x9fpIAA::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074264,false,707Do00000i8vU6
2023-04-19T21:40:05.000+0000,800Do000000xMQVIA2::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000002aAvd] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00074280,false,707Do00000i8vQv
2023-04-19T21:40:05.000+0000,800Do000000xGopIAE::RenewContract,,,"Error while creating Quote Record:SBQQ.ValidationException: [""operation performed with inactive user [0053i000002aAvd] as owner of 01I3i000000X1XE""]

(System Code)",Failed,JOB00074279,false,707Do00000i8vQv
2023-04-19T21:40:04.000+0000,800Do000000xPJxIAM::RenewContract,,,Add a subscription pricing value to all products associated with your subscriptions and try again.,Failed,JOB00062632,false,707Do00000i8vAp
2023-04-19T21:40:04.000+0000,800Do000000xBMRIA2::RenewContract,,,Add a subscription pricing value to all products associated with your subscriptions and try again.,Failed,JOB00062630,false,707Do00000i8vAp
2023-04-19T21:40:04.000+0000,800Do000000xJAtIAM::RenewContract,,,Add a subscription pricing value to all products associated with your subscriptions and try again.,Failed,JOB00062631,false,707Do00000i8vAp
2023-04-19T21:39:54.000+0000,800Do000000xNqGIAU::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00074247,false,707Do00000i8vIP
2023-04-19T21:39:54.000+0000,800Do000000xBBrIAM::RenewContract,,,Cannot read property 'shouldGenerateLines' of undefined,Failed,JOB00074246,false,707Do00000i8vIP
2023-04-19T21:39:52.000+0000,800Do000000xLi2IAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074160,false,707Do00000i8vda
2023-04-19T21:39:52.000+0000,800Do000000xHfjIAE::RenewContract,,,Cannot read property 'slice' of null,Failed,JOB00074161,false,707Do00000i8vda
