Id,SBQQ__TargetCustomerAmount__c
a6GDo0000000sFmMAI,19045.82
a6GDo0000000sFrMAI,4043.05
a6GDo0000000sFhMAI,1919.24
a6GDo0000000sFcMAI,10533
a6GDo0000000sFXMAY,3160
a6GDo0000000sFSMAY,5885
a6GDo0000000sFNMAY,6987
a6GDo0000000sFDMAY,3359.35
a6GDo0000000sFIMAY,4578
a6GDo0000000sF8MAI,2729
a6GDo0000000sEGMAY,9524.17
a6GDo0000000s3mMAA,19016
a6GDo0000000sEyMAI,9058.92
a6GDo0000000sEtMAI,7279.93
a6GDo0000000sEoMAI,1925.98
a6GDo0000000sEeMAI,13254
a6GDo0000000sEUMAY,2488.23
a6GDo0000000sBgMAI,1605.45
a6GDo0000000sEPMAY,2768.37
a6GDo0000000sEFMAY,2340.72
a6GDo0000000sE5MAI,1644.76
a6GDo0000000sEAMAY,2381.15
a6GDo0000000sBCMAY,2453.11
a6GDo0000000sE0MAI,2702.54
a6GDo0000000sDmMAI,3974.4
a6GDo0000000sAJMAY,3364.39
a6GDo0000000sDqMAI,2165.63
a6GDo0000000sDlMAI,2457.04
a6GDo0000000sDbMAI,1605.36
a6GDo0000000sDWMAY,2074.24
a6GDo0000000sDRMAY,2648
a6GDo0000000s9fMAA,2353.57
a6GDo0000000sDMMAY,4229.74
a6GDo0000000sDHMAY,9398.84
a6GDo0000000sDCMAY,2022.17
a6GDo0000000sD7MAI,3102.86
a6GDo0000000sD2MAI,4340.8
a6GDo0000000sCxMAI,1940.79
a6GDo0000000sCnMAI,7402.82
a6GDo0000000sCiMAI,6958
a6GDo0000000sCsMAI,1990.35
a6GDo0000000sCYMAY,6090.83
a6GDo0000000sCTMAY,5703.41
a6GDo0000000sCdMAI,12144
a6GDo0000000sCOMAY,6152.76
a6GDo0000000sCJMAY,2140
a6GDo0000000s5nMAA,10700.15
a6GDo0000000sA4MAI,7299.79
a6GDo0000000sC9MAI,14053.33
a6GDo0000000s67MAA,2781.94
a6GDo0000000s9uMAA,4022.97
a6GDo0000000sBzMAI,1925.94
a6GDo0000000sBfMAI,10771.12
a6GDo0000000sBuMAI,2139.89
a6GDo0000000sBpMAI,7833
a6GDo0000000sBkMAI,4915.87
a6GDo0000000sBaMAI,1658.78
a6GDo0000000sBVMAY,2888.66
a6GDo0000000sBGMAY,5681
a6GDo0000000sBBMAY,2881.8
a6GDo0000000sBLMAY,5016.85
a6GDo0000000s5sMAA,1605.08
a6GDo0000000sB1MAI,1604.76
a6GDo0000000sArMAI,1905.66
a6GDo0000000sAhMAI,19683.49
a6GDo0000000sAmMAI,1244.68
a6GDo0000000sAcMAI,8134.2
a6GDo0000000sAXMAY,1866.24
a6GDo0000000sANMAY,2258.59
a6GDo0000000sAIMAY,1926
a6GDo0000000sA8MAI,4226.52
a6GDo0000000s9yMAA,2488.86
a6GDo0000000s9jMAA,2018.81
a6GDo0000000s9oMAA,4595.3
a6GDo0000000s9ZMAQ,1605.45
a6GDo0000000s9eMAA,1792.22
a6GDo0000000s9PMAQ,1604.76
a6GDo0000000s9FMAQ,1879
a6GDo0000000s9KMAQ,2033
a6GDo0000000s9AMAQ,1802.95
a6GDo0000000s8vMAA,1557.24
a6GDo0000000s90MAA,2407.79
a6GDo0000000s95MAA,10483.42
a6GDo0000000s8qMAA,8305.93
a6GDo0000000s8lMAA,1578.6
a6GDo0000000s8bMAA,3455.61
a6GDo0000000s8gMAA,3527.52
a6GDo0000000s8RMAQ,2153.51
a6GDo0000000s8HMAQ,3745
a6GDo0000000s8CMAQ,1605.23
a6GDo0000000s82MAA,2224.28
a6GDo0000000s87MAA,2653
a6GDo0000000s7xMAA,1688
a6GDo0000000s7iMAA,3122.77
a6GDo0000000s7nMAA,7451
a6GDo0000000s7sMAA,4514.58
a6GDo0000000s7dMAA,1578.77
a6GDo0000000s7YMAQ,4249.99
a6GDo0000000s7TMAQ,1596.81
a6GDo0000000s79MAA,2751.34
a6GDo0000000s74MAA,1626.91
a6GDo0000000s6zMAA,5624.2
a6GDo0000000s6fMAA,13457
a6GDo0000000s6aMAA,3363.79
a6GDo0000000s6QMAQ,4944
a6GDo0000000s6VMAQ,4429.53
a6GDo0000000s61MAA,4351.31
a6GDo0000000s6BMAQ,1771.92
a6GDo0000000s6GMAQ,3423.62
a6GDo0000000s66MAA,2658.01
a6GDo0000000s5wMAA,17695.09
a6GDo0000000s5mMAA,2938.35
a6GDo0000000s5XMAQ,2053.45
a6GDo0000000s5hMAA,8928.39
a6GDo0000000s5cMAA,27191
a6GDo0000000s5SMAQ,2674.88
a6GDo0000000s5NMAQ,1605.07
a6GDo0000000s5DMAQ,5790.4
a6GDo0000000s58MAA,11964
a6GDo0000000s53MAA,13687.15
a6GDo0000000s4QMAQ,1785
a6GDo0000000s4tMAA,4409.7
a6GDo0000000s4oMAA,2826.3
a6GDo0000000s4jMAA,2127.86
a6GDo0000000s4UMAQ,1556.85
a6GDo0000000s4PMAQ,1614.25
a6GDo0000000s2xMAA,1800
a6GDo0000000rzoMAA,64502
a6GDo0000000rz0MAA,7200
a6GDo0000000rmGMAQ,4500
a6GDo0000000rlrMAA,7190
a6GDo0000000rlXMAQ,5880
a6GDo0000000rl3MAA,1680
a6GDo0000000rg8MAA,4620
a6GDo0000000rfZMAQ,6344.15
a6GDo0000000rcLMAQ,3024
a6GDo0000000rVaMAI,1200
a6GDo0000000rZqMAI,9072
a6GDo0000000rNRMAY,180000
a6GDo0000000rNVMAY,7204.8
a6GDo0000000qwtMAA,3393.06
a6GDo0000000qrKMAQ,4200
a6GDo0000000qrAMAQ,8700
a6GDo0000000qqvMAA,11080
a6GDo0000000qqmMAA,2714.45
a6GDo0000000qpTMAQ,8112
a6GDo0000000qpOMAQ,1800
a6GDo0000000qnwMAA,8854.92
a6GDo0000000qnrMAA,2520
a6GDo0000000qnhMAA,2988
a6GDo0000000qncMAA,2930
a6GDo0000000qlHMAQ,2000
a6GDo0000000ql7MAA,3193
a6GDo0000000qknMAA,3100
a6GDo0000000qk9MAA,8100
a6GDo0000000qiDMAQ,5140
a6GDo0000000qhyMAA,3900
a6GDo0000000qhUMAQ,5188
a6GDo0000000qhKMAQ,5188
a6GDo0000000qfYMAQ,4728
a6GDo0000000qfEMAQ,3000
a6GDo0000000qdcMAA,3000
a6GDo0000000qdDMAQ,4200
a6GDo0000000qbgMAA,5400
a6GDo0000000qVFMAY,177900
a6GDo0000000qXyMAI,1995
a6GDo0000000qXFMAY,4800
a6GDo0000000qX5MAI,3480
a6GDo0000000qWqMAI,4995
a6GDo0000000qWbMAI,3000
a6GDo0000000qWWMAY,6600
a6GDo0000000qNjMAI,1836
a6GDo0000000qNZMAY,1836
a6GDo0000000qMqMAI,29604
a6GDo0000000qMMMAY,2520
a6GDo0000000qMHMAY,1600
a6GDo0000000qLOMAY,3336
a6GDo0000000qJIMAY,20588.4
a6GDo0000000qENMAY,2520
a6GDo0000000qCHMAY,5793
a6GDo0000000qBnMAI,1700
a6GDo0000000qBEMAY,4920
a6GDo0000000qA7MAI,1200
a6GDo0000000q7qMAA,2460
a6GDo0000000q2IMAQ,3000
a6GDo0000000q2HMAQ,1740
a6GDo0000000pxbMAA,4665
a6GDo0000000pwRMAQ,5400
a6GDo0000000pvDMAQ,5040
a6GDo0000000ps9MAA,1800
a6GDo0000000pr6MAA,4476
a6GDo0000000pjWMAQ,9525
a6GDo0000000peqMAA,1800
a6GDo0000000pYnMAI,3000
a6GDo0000000p3fMAA,7524
a6GDo0000000p1UMAQ,11000
a6GDo0000000oyzMAA,3000
a6GDo0000000oxSMAQ,5400
a6GDo0000000otBMAQ,8900
a6GDo0000000odmMAA,1668
a6GDo0000000oZ6MAI,10635
a6GDo0000000oSFMAY,1500
a6GDo0000000oS5MAI,1800
a6GDo0000000oNyMAI,28800
a6GDo0000000oNeMAI,15950
a6GDo0000000oNFMAY,6500
a6GDo0000000oMgMAI,9999
a6GDo0000000oLiMAI,2800
a6GDo0000000oKQMAY,2520
a6GDo0000000oG9MAI,3980.4
a6GDo0000000oBxMAI,34653
a6GDo0000000oALMAY,3000
a6GDo0000000oAGMAY,1200
a6GDo0000000oA1MAI,5821.2
a6GDo0000000o8PMAQ,665
a6GDo0000000o80MAA,1836
a6GDo0000000o7gMAA,3200
a6GDo0000000nykMAA,4800
a6GDo0000000nWuMAI,60000
a6GDo0000000nVdMAI,2334
a6GDo0000000nOlMAI,1200
a6GDo0000000nO7MAI,7005.6
a6GDo0000000nKKMAY,27000
a6GDo0000000nIYMAY,1836
a6GDo0000000nH6MAI,6048
a6GDo0000000nG8MAI,2400
a6GDo0000000n5UMAQ,8130.97
a6GDo0000000n5GMAQ,1200
a6GDo0000000n18MAA,19291
a6GDo0000000n0eMAA,3024
a6GDo0000000n0FMAQ,3600
a6GDo0000000mu2MAA,12500
a6GDo0000000mtnMAA,3000
a6GDo0000000mtiMAA,2520
a6GDo0000000mtOMAQ,6295
a6GDo0000000mtJMAQ,4200
a6GDo0000000mspMAA,2520
a6GDo0000000msBMAQ,2520
a6GDo0000000ms6MAA,2600
a6GDo0000000mr8MAA,1668
a6GDo0000000mjtMAA,5000
a6GDo0000000mqAMAQ,1600
a6GDo0000000mpbMAA,7399
a6GDo0000000mmcMAA,3200
a6GDo0000000menMAA,1200
a6GDo0000000mNIMAY,1320
a6GDo0000000mN8MAI,83046
a6GDo0000000mJpMAI,4523.4
a6GDo0000000mJfMAI,1920
a6GDo0000000mImMAI,2600
a6GDo0000000mGqMAI,2520
a6GDo0000000mGgMAI,47283
a6GDo0000000mFdMAI,6336
a6GDo0000000mFTMAY,1905.12
a6GDo0000000mBvMAI,3800
a6GDo0000000mBlMAI,1600
a6GDo0000000mAEMAY,2520
a6GDo0000000m1RMAQ,29775.6
a6GDo0000000m17MAA,11256
a6GDo0000000m0sMAA,34440
a6GDo0000000m0JMAQ,7620
a6GDo0000000lzLMAQ,1740
a6GDo0000000lz1MAA,15748.8
a6GDo0000000lymMAA,6048
a6GDo0000000lu1MAA,6600
a6GDo0000000lqdMAA,2839.86
a6GDo0000000lpGMAQ,15960
a6GDo0000000lnAMAQ,2996
a6GDo0000000llOMAQ,2776.65
a6GDo0000000lj3MAA,2520
a6GDo0000000lgdMAA,2800
a6GDo0000000lWTMAY,3168
a6GDo0000000lTjMAI,3672
a6GDo0000000lQVMAY,5000
a6GDo0000000lQLMAY,2520
a6GDo0000000lPSMAY,3900
a6GDo0000000lPNMAY,3200
a6GDo0000000lOoMAI,5484
a6GDo0000000lOeMAI,3100
a6GDo0000000lMnMAI,6040
a6GDo0000000lIqMAI,10824
a6GDo0000000lDWMAY,1836
a6GDo0000000l5NMAQ,2600
a6GDo0000000l53MAA,19889.16
a6GDo0000000l1kMAA,3552
a6GDo0000000l0wMAA,2050
a6GDo0000000kzyMAA,2400
a6GDo0000000kztMAA,4176
a6GDo0000000kzPMAQ,4320
a6GDo0000000kyWMAQ,2400
a6GDo0000000kxTMAQ,1995
a6GDo0000000kxJMAQ,1528.57
a6GDo0000000kwpMAA,1600
a6GDo0000000kuZMAQ,1700
a6GDo0000000kuPMAQ,2500
a6GDo0000000kuKMAQ,3000
a6GDo0000000ktgMAA,2500
a6GDo0000000ktWMAQ,3000
a6GDo0000000ktMMAQ,2400
a6GDo0000000kruMAA,8968
a6GDo0000000krfMAA,2400
a6GDo0000000kraMAA,2400
a6GDo0000000krVMAQ,2400
a6GDo0000000krBMAQ,2400
a6GDo0000000kr6MAA,2400
a6GDo0000000kqXMAQ,2400
a6GDo0000000kpoMAA,8100
a6GDo0000000kpUMAQ,2116.8
a6GDo0000000knEMAQ,3186
a6GDo0000000klIMAQ,1740
a6GDo0000000kjDMAQ,1200
a6GDo0000000khzMAA,10761.6
a6GDo0000000kaPMAQ,3552
a6GDo0000000kXpMAI,3360
a6GDo0000000kUbMAI,1200
a6GDo0000000kTJMAY,1800
a6GDo0000000kSVMAY,3600
a6GDo0000000kRwMAI,4200
a6GDo0000000kOsMAI,1200
a6GDo0000000kOTMAY,4980
a6GDo0000000kMSMAY,1000
a6GDo0000000kL5MAI,4970
a6GDo0000000kKqMAI,8568
a6GDo0000000kKHMAY,10440
a6GDo0000000kJsMAI,1929
a6GDo0000000kHmMAI,1836
a6GDo0000000kCcMAI,2400
a6GDo0000000kB0MAI,2340
a6GDo0000000k73MAA,24000
a6GDo0000000k6oMAA,2232
