Id,BB_Stats__c,BB_Last_Access_Date__c,NS_Invoice_Due_Date__c,BB_Account__c,BB_Account_Sequence__c,Revenue_Account_ID__c,NS_Invoice_Amt_Due__c
0013i00002RoR4vAAF,Review:2  BId:0  Tmins:7 PageViews:5,2023-05-05T09:14:00.000+0000,2022-08-01,163319,163319-0,,300
0013i00002RodjFAAR,Review:0  BId:0  Tmins:1 PageViews:0,2023-01-13T12:22:00.000+0000,2022-07-01,317376,317376-0,,960
