Id,BB_KB_Cancellation__c
0013i0000071x6QAAQ,true
0013i0000071x8jAAA,true
0013i0000071xCKAAY,true
0013i0000071xEtAAI,true
0013i0000071xF7AAI,true
0013i0000071xFFAAY,true
0013i0000071xMBAAY,true
0013i0000071xN4AAI,true
0013i0000071xOsAAI,true
0013i0000071xP5AAI,true
0013i0000071xP9AAI,true
0013i0000071xPAAAY,true
0013i0000071xPOAAY,true
0013i0000071xPRAAY,true
0013i0000071xPaAAI,true
0013i0000071xPhAAI,true
0013i0000071xPoAAI,true
0013i0000071xPsAAI,true
0013i0000071xQ2AAI,true
0013i0000071xR4AAI,true
0013i0000071xWDAAY,true
0013i0000071xWiAAI,true
0013i0000071xWuAAI,true
0013i0000071xX0AAI,true
0013i0000071xXBAAY,true
0013i0000071xXGAAY,true
0013i0000071xXIAAY,true
0013i0000071xXPAAY,true
0013i0000071xXTAAY,true
0013i0000071xXbAAI,true
0013i0000071xY3AAI,true
0013i0000071xYEAAY,true
0013i0000071xkJAAQ,true
0013i0000071xkPAAQ,true
0013i0000071xkUAAQ,true
0013i0000071xknAAA,true
0013i0000071xkoAAA,true
0013i0000071xkvAAA,true
0013i0000071zoLAAQ,true
0013i0000072DjHAAU,true
0013i0000072DmLAAU,true
0013i0000072DmrAAE,true
0013i0000072EA2AAM,true
0013i0000072EDdAAM,true
0013i0000072MXcAAM,true
0013i0000072MmYAAU,true
0013i0000072NSCAA2,true
0013i0000072NTrAAM,true
0013i0000072NURAA2,true
0013i0000072NVTAA2,true
0013i0000072NWHAA2,true
0013i0000072NWQAA2,true
0013i0000072NWhAAM,true
0013i0000072NXJAA2,true
0013i0000072NXVAA2,true
0013i0000072NZ4AAM,true
0013i0000072NZGAA2,true
0013i0000072Na4AAE,true
0013i0000072NaCAAU,true
0013i0000072NaKAAU,true
0013i0000072NaeAAE,true
0013i0000072NbiAAE,true
0013i0000072NcpAAE,true
0013i0000072NcxAAE,true
0013i0000072NdYAAU,true
0013i0000072Ne9AAE,true
0013i0000072NilAAE,true
0013i0000072NjbAAE,true
0013i0000072NjcAAE,true
0013i0000072Nk1AAE,true
0013i0000072NkUAAU,true
0013i0000072NkYAAU,true
0013i0000072NkcAAE,true
0013i0000072Nl2AAE,true
0013i0000072Nl4AAE,true
0013i0000072NmYAAU,true
0013i0000072NmZAAU,true
0013i0000072NmaAAE,true
0013i0000072NmgAAE,true
0013i0000072NmsAAE,true
0013i0000072Nn7AAE,true
0013i0000072Nn9AAE,true
0013i0000072NnIAAU,true
0013i0000072NnPAAU,true
0013i0000072NnXAAU,true
0013i0000072NnbAAE,true
0013i0000072NocAAE,true
0013i0000072NogAAE,true
0013i0000072NosAAE,true
0013i0000072NovAAE,true
0013i0000072NozAAE,true
0013i0000072Np3AAE,true
0013i0000072Np9AAE,true
0013i0000072NpLAAU,true
0013i0000072NpbAAE,true
0013i0000072NpgAAE,true
0013i0000072NqnAAE,true
0013i0000072NqwAAE,true
0013i0000072Nr0AAE,true
0013i0000072NudAAE,true
0013i0000072O4FAAU,true
0013i0000072O4iAAE,true
0013i0000072O6IAAU,true
0013i0000072O78AAE,true
0013i0000072O7yAAE,true
0013i0000072O8SAAU,true
0013i0000072O9MAAU,true
0013i0000072O9zAAE,true
0013i0000072OAQAA2,true
0013i0000072OApAAM,true
0013i0000072OB5AAM,true
0013i0000072ODDAA2,true
0013i0000072OLEAA2,true
0013i0000072OTrAAM,true
0013i0000072ObCAAU,true
0013i0000072OceAAE,true
0013i0000072OcsAAE,true
0013i0000072OdUAAU,true
0013i000008oB7eAAE,true
0013i000009lukiAAA,true
0013i000009lyRcAAI,true
0013i00000AM2VHAA1,true
0013i00000AmMgYAAV,true
0013i00000BOpC8AAL,true
0013i00000BOqmFAAT,true
0013i00000BQ7vXAAT,true
0013i00000BQ8rqAAD,true
0013i00000BQf7CAAT,true
0013i00000BQt5tAAD,true
0013i00000CK7haAAD,true
0013i00000CbWsCAAV,true
0013i00000D0MemAAF,true
0013i00000D0NJiAAN,true
0013i00000D0v0nAAB,true
0013i00000D1TDwAAN,true
0013i00000D2ialAAB,true
0013i00000D37zVAAR,true
0013i00000D3IoGAAV,true
0013i00000D3UAjAAN,true
0013i00000D3UTgAAN,true
0013i00000D3j2OAAR,true
0013i00000D3qC8AAJ,true
0013i00000D3rM4AAJ,true
