BB_Account_Sequence__c,BB_KB_Cancellation__c,BB_Last_Access_Date__c,BB_Stats__c
4465505-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4706153-0,TRUE,2023-02-14T22:36:00Z,Review:2  BId:0  Tmins:2 PageViews:2
5531124-0,TRUE,2023-05-04T11:24:00Z,Review:5  BId:1  Tmins:33 PageViews:2
5600357-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
5619879-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5891025-0,TRUE,2023-01-27T11:09:00Z,Review:4  BId:1  Tmins:3 PageViews:0
6005242-0,TRUE,2023-04-28T15:34:00Z,Review:36  BId:3  Tmins:62 PageViews:15
6791331-0,TRUE,2023-04-20T08:06:00Z,Review:5  BId:0  Tmins:26 PageViews:2
7013178-0,TRUE,2023-05-02T08:53:00Z,Review:4  BId:0  Tmins:8 PageViews:4
7150974-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7247409-0,TRUE,2023-04-07T11:50:00Z,Review:7  BId:3  Tmins:44 PageViews:0
7273712-0,TRUE,2023-03-28T02:57:00Z,Review:88  BId:0  Tmins:5 PageViews:0
7369367-0,TRUE,2023-05-11T10:02:00Z,Review:1  BId:1  Tmins:10 PageViews:7
7565029-0,TRUE,2023-02-18T16:23:00Z,Review:34  BId:0  Tmins:4 PageViews:2
7668123-0,TRUE,2023-04-06T14:32:00Z,Review:6  BId:7  Tmins:15 PageViews:5
7798066-0,TRUE,2023-03-03T12:35:00Z,Review:2  BId:3  Tmins:20 PageViews:3
7799131-0,TRUE,2023-04-07T11:09:00Z,Review:0  BId:0  Tmins:13 PageViews:2
7816425-0,TRUE,,Review:9  BId:0  Tmins: PageViews:
7842371-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7877174-0,TRUE,2023-01-30T16:47:00Z,Review:7  BId:1  Tmins:1 PageViews:0
7888003-0,TRUE,,Review:3  BId:2  Tmins: PageViews:
7895902-0,TRUE,,Review:3  BId:1  Tmins: PageViews:
7898715-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7907134-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7923282-0,TRUE,,Review:2  BId:5  Tmins: PageViews:
7983131-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8049724-0,TRUE,,Review:1  BId:2  Tmins: PageViews:
8094036-0,TRUE,2023-04-19T23:05:00Z,Review:10  BId:6  Tmins:8 PageViews:4
8179304-0,TRUE,2023-05-03T18:48:00Z,Review:10  BId:5  Tmins:34 PageViews:29
8303050-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
8350958-0,TRUE,,Review:2  BId:3  Tmins: PageViews:
8369347-0,TRUE,2023-04-23T17:58:00Z,Review:8  BId:0  Tmins:51 PageViews:6
8547433-0,TRUE,2023-05-04T11:41:00Z,Review:27  BId:0  Tmins:32 PageViews:23
8616047-0,TRUE,2023-04-17T11:28:00Z,Review:58  BId:3  Tmins:21 PageViews:1
8619019-0,TRUE,2023-01-30T20:02:00Z,Review:27  BId:0  Tmins:2 PageViews:3
8624694-0,TRUE,2023-05-03T10:28:00Z,Review:35  BId:4  Tmins:25 PageViews:33
8632246-0,TRUE,2023-05-09T11:58:00Z,Review:1  BId:1  Tmins:1 PageViews:1
8637282-0,TRUE,2023-05-03T10:11:00Z,Review:3  BId:1  Tmins:4 PageViews:1
8637885-0,TRUE,2023-04-27T19:15:00Z,Review:23  BId:2  Tmins:30 PageViews:8
8638101-0,TRUE,2023-03-30T08:17:00Z,Review:99  BId:32  Tmins:93 PageViews:85
8640491-0,TRUE,2023-05-02T06:33:00Z,Review:8  BId:1  Tmins:2 PageViews:1
8642102-0,TRUE,2023-05-12T16:01:00Z,Review:2  BId:0  Tmins:9 PageViews:0
8643054-0,TRUE,2023-05-16T21:55:00Z,Review:56  BId:0  Tmins:11 PageViews:7
8669638-0,TRUE,2023-04-01T19:27:00Z,Review:9  BId:42  Tmins:5 PageViews:4
8679172-0,TRUE,2023-05-09T11:44:00Z,Review:3  BId:1  Tmins:5 PageViews:5
8682060-0,TRUE,2023-05-03T16:31:00Z,Review:32  BId:0  Tmins:30 PageViews:23
8682882-0,TRUE,2023-03-20T19:23:00Z,Review:3  BId:0  Tmins:11 PageViews:5
8693428-0,TRUE,2023-05-16T12:12:00Z,Review:26  BId:0  Tmins:38 PageViews:29
8694557-0,TRUE,2023-05-10T12:12:00Z,Review:5  BId:0  Tmins:11 PageViews:13
8695618-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8698430-0,TRUE,2023-05-03T11:42:00Z,Review:4  BId:2  Tmins:7 PageViews:2
8703865-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8866282-0,TRUE,2023-05-12T16:25:00Z,Review:108  BId:7  Tmins:230 PageViews:129
8891128-0,TRUE,2023-01-09T22:07:00Z,Review:12  BId:5  Tmins:1 PageViews:1
8923378-0,TRUE,,Review:0  BId:4  Tmins: PageViews:
8929816-0,TRUE,2023-05-16T09:54:00Z,Review:111  BId:3  Tmins:185 PageViews:89
8937694-0,TRUE,,Review:6  BId:0  Tmins: PageViews:
8941900-0,TRUE,2023-05-12T06:49:00Z,Review:20  BId:2  Tmins:39 PageViews:9
8942884-0,TRUE,,Review:15  BId:4  Tmins: PageViews:
8943543-0,TRUE,2023-05-09T17:06:00Z,Review:7  BId:8  Tmins:35 PageViews:25
8943878-0,TRUE,,Review:0  BId:2  Tmins: PageViews:
8944184-0,TRUE,2023-01-27T17:02:00Z,Review:10  BId:3  Tmins:2 PageViews:1
8944917-0,TRUE,,Review:41  BId:21  Tmins: PageViews:
8945277-0,TRUE,2023-01-20T16:56:00Z,Review:19  BId:21  Tmins:5 PageViews:1
8946983-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
15619-0,TRUE,2023-05-15T16:21:00Z,Review:28  BId:0  Tmins:17 PageViews:9
107301-0,TRUE,,Review:  BId:  Tmins: PageViews:
111006-0,TRUE,2023-01-03T14:43:00Z,Review:12  BId:6  Tmins:1 PageViews:1
225176-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
329607-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
557325-0,TRUE,2023-02-09T17:27:00Z,Review:29  BId:56  Tmins:5 PageViews:2
755728-0,TRUE,2023-05-05T13:42:00Z,Review:2  BId:4  Tmins:3 PageViews:2
1076044-0,TRUE,2023-04-10T10:02:00Z,Review:7  BId:4  Tmins:5 PageViews:4
2090292-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
2810874-0,TRUE,,Review:6  BId:0  Tmins: PageViews:
4307398-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4329549-0,TRUE,2023-05-10T08:43:00Z,Review:1  BId:0  Tmins:6 PageViews:0
4749499-0,TRUE,2023-01-09T14:22:00Z,Review:1  BId:0  Tmins:3 PageViews:0
4896753-0,TRUE,2023-04-30T23:59:00Z,Review:64  BId:4  Tmins:112 PageViews:32
5691083-0,TRUE,2023-03-24T08:52:00Z,Review:9  BId:0  Tmins:6 PageViews:5
6202430-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
6559294-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6724591-0,TRUE,2023-01-03T16:35:00Z,Review:3  BId:2  Tmins:2 PageViews:0
7049132-0,TRUE,2023-03-27T14:47:00Z,Review:0  BId:0  Tmins:7 PageViews:0
7051574-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7071826-0,TRUE,2023-05-03T10:38:00Z,Review:2  BId:1  Tmins:3 PageViews:0
7144533-0,TRUE,,Review:7  BId:0  Tmins: PageViews:
7162262-0,TRUE,2023-05-02T14:50:00Z,Review:7  BId:0  Tmins:2 PageViews:0
7334433-0,TRUE,2023-02-02T09:14:00Z,Review:1  BId:0  Tmins:1 PageViews:0
7347178-0,TRUE,2023-03-27T20:04:00Z,Review:6  BId:0  Tmins:7 PageViews:5
7386218-0,TRUE,2023-05-16T17:50:00Z,Review:8  BId:6  Tmins:37 PageViews:7
7872802-0,TRUE,2023-03-29T15:35:00Z,Review:1  BId:1  Tmins:9 PageViews:8
7916837-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7917393-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8094001-0,TRUE,2023-03-01T11:07:00Z,Review:37  BId:0  Tmins:20 PageViews:13
8210421-0,TRUE,2023-04-26T22:51:00Z,Review:18  BId:16  Tmins:417 PageViews:76
8395755-0,TRUE,2023-05-02T14:27:00Z,Review:3  BId:1  Tmins:9 PageViews:2
8543410-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8547084-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8560838-0,TRUE,2023-01-31T15:00:00Z,Review:6  BId:1  Tmins:6 PageViews:1
8565937-0,TRUE,2023-04-17T08:19:00Z,Review:20  BId:4  Tmins:48 PageViews:34
8575554-0,TRUE,,Review:1  BId:2  Tmins: PageViews:
8596965-0,TRUE,2023-05-09T10:28:00Z,Review:7  BId:1  Tmins:14 PageViews:10
8635373-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8638134-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8640633-0,TRUE,2023-02-21T08:07:00Z,Review:4  BId:0  Tmins:2 PageViews:2
8672638-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8691256-0,TRUE,2023-05-11T18:57:00Z,Review:78  BId:10  Tmins:329 PageViews:215
8691704-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8704839-0,TRUE,2023-03-21T11:28:00Z,Review:1  BId:0  Tmins:1 PageViews:1
8713999-0,TRUE,,Review:1  BId:2  Tmins: PageViews:
8717291-0,TRUE,,Review:11  BId:1  Tmins: PageViews:
8723675-0,TRUE,2023-05-08T06:40:00Z,Review:3  BId:0  Tmins:1 PageViews:1
8723935-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8725076-0,TRUE,2023-05-07T22:10:00Z,Review:2  BId:0  Tmins:12 PageViews:1
8874819-0,TRUE,2023-03-20T22:26:00Z,Review:21  BId:2  Tmins:12 PageViews:0
8892561-0,TRUE,2023-02-05T20:03:00Z,Review:3  BId:6  Tmins:1 PageViews:1
8949883-0,TRUE,2023-05-15T17:06:00Z,Review:72  BId:151  Tmins:32 PageViews:0
8951071-0,TRUE,2023-04-29T23:46:00Z,Review:39  BId:8  Tmins:68 PageViews:23
8952589-0,TRUE,,Review:6  BId:1  Tmins: PageViews:
8955612-0,TRUE,2023-03-23T12:58:00Z,Review:1  BId:3  Tmins:7 PageViews:6
95179-0,TRUE,2023-05-16T04:47:00Z,Review:0  BId:0  Tmins:2 PageViews:1
114015-0,TRUE,2023-05-11T13:41:00Z,Review:1  BId:0  Tmins:3 PageViews:2
127936-0,TRUE,2023-05-05T13:17:00Z,Review:0  BId:0  Tmins:3 PageViews:2
206752-0,TRUE,2023-02-09T14:32:00Z,Review:8  BId:0  Tmins:46 PageViews:18
314847-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
461695-0,TRUE,2023-05-03T12:53:00Z,Review:3  BId:0  Tmins:28 PageViews:5
594837-0,TRUE,2023-03-08T12:20:00Z,Review:8  BId:0  Tmins:15 PageViews:3
769020-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
3420762-0,TRUE,,Review:2  BId:2  Tmins: PageViews:
4678591-0,TRUE,2023-05-16T14:04:00Z,Review:142  BId:6  Tmins:2 PageViews:1
4711275-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
4880411-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4884856-0,TRUE,2023-04-25T20:04:00Z,Review:8  BId:1  Tmins:15 PageViews:11
5337816-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5617562-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6332708-0,TRUE,2023-04-06T09:44:00Z,Review:39  BId:0  Tmins:11 PageViews:8
6615989-0,TRUE,,Review:23  BId:0  Tmins: PageViews:
6808021-0,TRUE,2023-01-26T19:19:00Z,Review:43  BId:0  Tmins:13 PageViews:7
7009612-0,TRUE,2023-01-20T10:15:00Z,Review:1  BId:3  Tmins:8 PageViews:1
7083023-0,TRUE,2023-05-01T14:22:00Z,Review:0  BId:0  Tmins:8 PageViews:2
7161474-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7167867-0,TRUE,2023-02-21T16:36:00Z,Review:5  BId:2  Tmins:5 PageViews:0
7273226-0,TRUE,2023-05-16T10:31:00Z,Review:224  BId:0  Tmins:695 PageViews:332
7275239-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7375481-0,TRUE,2023-03-01T17:08:00Z,Review:36  BId:0  Tmins:4 PageViews:3
7673540-0,TRUE,2023-03-28T11:36:00Z,Review:8  BId:0  Tmins:13 PageViews:8
7880744-0,TRUE,2023-05-11T16:59:00Z,Review:7  BId:3  Tmins:10 PageViews:7
7965566-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
7982756-0,TRUE,2023-05-11T14:37:00Z,Review:118  BId:48  Tmins:601 PageViews:283
7985873-0,TRUE,2023-05-16T15:08:00Z,Review:18  BId:0  Tmins:21 PageViews:13
8269074-0,TRUE,,Review:9  BId:0  Tmins: PageViews:
8301805-0,TRUE,,Review:9  BId:1  Tmins: PageViews:
8306277-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8308643-0,TRUE,2023-03-07T16:59:00Z,Review:4  BId:4  Tmins:6 PageViews:5
8330078-0,TRUE,,Review:4  BId:2  Tmins: PageViews:
8525121-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
8544793-0,TRUE,2023-05-16T17:27:00Z,Review:30  BId:0  Tmins:61 PageViews:20
8596224-0,TRUE,,Review:5  BId:0  Tmins: PageViews:
8607694-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8612484-0,TRUE,2023-04-01T14:51:00Z,Review:4  BId:2  Tmins:12 PageViews:3
8618439-0,TRUE,,Review:53  BId:0  Tmins: PageViews:
8620999-0,TRUE,,Review:2  BId:3  Tmins: PageViews:
8628343-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8637325-0,TRUE,2023-02-02T11:57:00Z,Review:19  BId:1  Tmins:19 PageViews:7
8638089-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8670844-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8688896-0,TRUE,2023-02-06T05:38:00Z,Review:14  BId:0  Tmins:4 PageViews:3
8704809-0,TRUE,2023-05-05T09:19:00Z,Review:11  BId:2  Tmins:15 PageViews:12
8708716-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8709588-0,TRUE,,Review:9  BId:1  Tmins: PageViews:
8709678-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
8722437-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8724365-0,TRUE,2023-03-29T19:16:00Z,Review:14  BId:1  Tmins:6 PageViews:4
8727619-0,TRUE,2023-01-05T01:46:00Z,Review:2  BId:0  Tmins:1 PageViews:0
8727986-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8728976-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8730404-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8735870-0,TRUE,2023-03-08T12:47:00Z,Review:9  BId:0  Tmins:16 PageViews:4
8735913-0,TRUE,,Review:3  BId:1  Tmins: PageViews:
8738741-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8738804-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8740309-0,TRUE,,Review:5  BId:2  Tmins: PageViews:
8743252-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
103176-0,TRUE,,Review:  BId:  Tmins: PageViews:
245029-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
310313-0,TRUE,2023-02-16T02:47:00Z,Review:7  BId:0  Tmins:4 PageViews:2
491081-0,TRUE,,Review:5  BId:0  Tmins: PageViews:
624991-0,TRUE,2023-05-11T09:19:00Z,Review:4  BId:2  Tmins:1 PageViews:1
780342-0,TRUE,2023-05-04T14:37:00Z,Review:13  BId:9  Tmins:23 PageViews:16
2438999-0,TRUE,2023-03-06T09:13:00Z,Review:31  BId:13  Tmins:5 PageViews:2
2818626-0,TRUE,2023-05-16T06:59:00Z,Review:1  BId:0  Tmins:1 PageViews:0
3691598-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
4509960-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
4592764-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
4651506-0,TRUE,2023-04-06T16:06:00Z,Review:1  BId:0  Tmins:7 PageViews:0
5564088-0,TRUE,2023-05-09T11:10:00Z,Review:17  BId:4  Tmins:66 PageViews:24
5813390-0,TRUE,2023-03-07T15:56:00Z,Review:6  BId:7  Tmins:8 PageViews:4
5881070-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
5912839-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6007006-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
6343726-0,TRUE,2023-03-28T09:03:00Z,Review:2  BId:0  Tmins:4 PageViews:0
6497826-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
6536905-0,TRUE,2023-02-01T21:40:00Z,Review:4  BId:2  Tmins:32 PageViews:13
6692288-0,TRUE,2023-05-16T00:39:00Z,Review:7  BId:12  Tmins:17 PageViews:3
6704343-0,TRUE,2023-03-16T17:01:00Z,Review:2  BId:0  Tmins:2 PageViews:2
6722831-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
6780962-0,TRUE,2023-02-08T14:06:00Z,Review:10  BId:0  Tmins:4 PageViews:2
6809964-0,TRUE,2023-01-31T12:17:00Z,Review:2  BId:0  Tmins:1 PageViews:0
7041928-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7057624-0,TRUE,2023-05-15T19:55:00Z,Review:2  BId:7  Tmins:55 PageViews:11
7279695-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7313698-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7405196-0,TRUE,2023-01-06T15:52:00Z,Review:9  BId:6  Tmins:2 PageViews:1
7426944-0,TRUE,2023-04-17T14:55:00Z,Review:21  BId:0  Tmins:101 PageViews:47
7645476-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7810556-0,TRUE,2023-05-10T15:27:00Z,Review:2  BId:0  Tmins:9 PageViews:1
7812332-0,TRUE,2023-05-08T15:54:00Z,Review:163  BId:29  Tmins:390 PageViews:167
7927130-0,TRUE,2023-04-20T13:12:00Z,Review:6  BId:0  Tmins:2 PageViews:1
7934602-0,TRUE,2023-03-28T16:40:00Z,Review:5  BId:1  Tmins:4 PageViews:4
7936755-0,TRUE,2023-05-16T22:01:00Z,Review:9  BId:0  Tmins:7 PageViews:7
7965618-0,TRUE,2023-05-02T09:54:00Z,Review:18  BId:5  Tmins:101 PageViews:40
7976575-0,TRUE,,Review:6  BId:0  Tmins: PageViews:
7985666-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8299085-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8301127-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8328873-0,TRUE,2023-04-25T12:54:00Z,Review:2  BId:0  Tmins:9 PageViews:1
8331469-0,TRUE,2023-03-24T09:41:00Z,Review:39  BId:17  Tmins:8 PageViews:6
8347695-0,TRUE,2023-02-15T18:52:00Z,Review:5  BId:1  Tmins:10 PageViews:1
8546770-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8567691-0,TRUE,2023-04-05T16:40:00Z,Review:17  BId:0  Tmins:10 PageViews:0
8576142-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8608657-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8627673-0,TRUE,2023-05-16T13:24:00Z,Review:91  BId:1  Tmins:68 PageViews:21
8660978-0,TRUE,,Review:6  BId:1  Tmins: PageViews:
8714030-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8726336-0,TRUE,2023-04-08T07:11:00Z,Review:3  BId:8  Tmins:8 PageViews:7
8734768-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8754916-0,TRUE,,Review:9  BId:1  Tmins: PageViews:
8758247-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8758883-0,TRUE,,Review:9  BId:8  Tmins: PageViews:
8760568-0,TRUE,2023-04-28T16:50:00Z,Review:0  BId:0  Tmins:1 PageViews:0
8760600-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
8762068-0,TRUE,2023-05-15T08:59:00Z,Review:111  BId:62  Tmins:163 PageViews:80
8762136-0,TRUE,2023-03-14T16:00:00Z,Review:4  BId:0  Tmins:1 PageViews:1
8764634-0,TRUE,2023-05-04T21:11:00Z,Review:14  BId:42  Tmins:26 PageViews:15
8767602-0,TRUE,2023-05-10T10:05:00Z,Review:52  BId:8  Tmins:235 PageViews:66
8768478-0,TRUE,2023-03-29T17:53:00Z,Review:7  BId:0  Tmins:6 PageViews:6
10808-0,TRUE,2023-03-09T12:02:00Z,Review:4  BId:0  Tmins:6 PageViews:2
885339-0,TRUE,2023-03-21T16:53:00Z,Review:4  BId:1  Tmins:3 PageViews:2
2632598-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
2916114-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
3419291-0,TRUE,,Review:6  BId:12  Tmins: PageViews:
3422359-0,TRUE,2023-03-21T10:50:00Z,Review:2  BId:4  Tmins:3 PageViews:2
4210677-0,TRUE,2023-01-22T15:06:00Z,Review:27  BId:0  Tmins:11 PageViews:2
5251096-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5315622-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5319569-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
5925524-0,TRUE,2023-05-16T15:08:00Z,Review:7  BId:1  Tmins:18 PageViews:5
6191585-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
6268148-0,TRUE,2023-01-09T14:32:00Z,Review:1  BId:0  Tmins:6 PageViews:1
6278234-0,TRUE,2023-04-19T17:56:00Z,Review:0  BId:0  Tmins:6 PageViews:0
6608425-0,TRUE,2023-01-04T11:56:00Z,Review:7  BId:0  Tmins:4 PageViews:2
6997908-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
7048465-0,TRUE,,Review:4  BId:3  Tmins: PageViews:
7167357-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7239160-0,TRUE,,Review:7  BId:0  Tmins: PageViews:
7280120-0,TRUE,,Review:21  BId:1  Tmins: PageViews:
7315273-0,TRUE,2023-03-08T22:26:00Z,Review:24  BId:2  Tmins:12 PageViews:1
7554124-0,TRUE,2023-05-10T13:00:00Z,Review:24  BId:3  Tmins:60 PageViews:30
8022670-0,TRUE,2023-05-05T15:51:00Z,Review:3  BId:0  Tmins:4 PageViews:1
8043627-0,TRUE,,Review:5  BId:6  Tmins: PageViews:
8190296-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8299244-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8300162-0,TRUE,2023-05-16T12:32:00Z,Review:1  BId:0  Tmins:10 PageViews:2
8387507-0,TRUE,,Review:13  BId:1  Tmins: PageViews:
8490548-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8562198-0,TRUE,2023-02-14T09:29:00Z,Review:96  BId:1  Tmins:19 PageViews:15
8602433-0,TRUE,,Review:2  BId:1  Tmins: PageViews:
8619326-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8708712-0,TRUE,,Review:40  BId:7  Tmins: PageViews:
8734668-0,TRUE,,Review:7  BId:0  Tmins: PageViews:
8770054-0,TRUE,2023-03-25T06:08:00Z,Review:4  BId:0  Tmins:8 PageViews:8
8772189-0,TRUE,2023-02-23T13:54:00Z,Review:10  BId:0  Tmins:4 PageViews:2
8772198-0,TRUE,2023-05-05T14:48:00Z,Review:4  BId:4  Tmins:7 PageViews:6
8772838-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8776961-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8777433-0,TRUE,,Review:9  BId:1  Tmins: PageViews:
8781969-0,TRUE,,Review:1  BId:1  Tmins: PageViews:
8782186-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8782255-0,TRUE,2023-02-13T16:44:00Z,Review:5  BId:0  Tmins:1 PageViews:1
8784162-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8784668-0,TRUE,2023-05-16T09:21:00Z,Review:2  BId:0  Tmins:26 PageViews:10
8801361-0,TRUE,2023-02-03T14:17:00Z,Review:17  BId:0  Tmins:203 PageViews:61
8828528-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8832464-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
112080-0,TRUE,2023-03-31T02:38:00Z,Review:11  BId:0  Tmins:1 PageViews:0
213425-0,TRUE,2023-04-29T09:16:00Z,Review:24  BId:5  Tmins:46 PageViews:37
379651-0,TRUE,2023-05-01T19:06:00Z,Review:10  BId:5  Tmins:59 PageViews:19
425960-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
638842-0,TRUE,,Review:182  BId:4  Tmins: PageViews:
778110-0,TRUE,2023-03-06T16:16:00Z,Review:9  BId:0  Tmins:1 PageViews:1
858204-0,TRUE,2023-04-18T09:12:00Z,Review:0  BId:0  Tmins:6 PageViews:4
1083629-0,TRUE,2023-05-10T05:18:00Z,Review:24  BId:3  Tmins:51 PageViews:31
1378659-0,TRUE,,Review:10  BId:1  Tmins: PageViews:
2429739-0,TRUE,2023-01-23T14:46:00Z,Review:1  BId:0  Tmins:3 PageViews:1
2788721-0,TRUE,2023-05-09T09:49:00Z,Review:83  BId:4  Tmins:321 PageViews:72
4186209-0,TRUE,2023-03-01T19:29:00Z,Review:0  BId:0  Tmins:5 PageViews:0
5171977-0,TRUE,2023-03-09T14:54:00Z,Review:15  BId:1  Tmins:4 PageViews:3
6007655-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6047209-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6247234-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
6547623-0,TRUE,2023-04-21T10:43:00Z,Review:19  BId:0  Tmins:40 PageViews:14
6768071-0,TRUE,2023-05-05T13:59:00Z,Review:37  BId:1  Tmins:75 PageViews:34
7067001-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7082334-0,TRUE,2023-05-02T11:17:00Z,Review:25  BId:2  Tmins:9 PageViews:10
7111658-0,TRUE,2023-03-24T14:42:00Z,Review:8  BId:0  Tmins:10 PageViews:5
7228885-0,TRUE,2023-05-16T15:04:00Z,Review:2  BId:1  Tmins:28 PageViews:3
7280155-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7509739-0,TRUE,2023-05-03T18:24:00Z,Review:36  BId:1  Tmins:61 PageViews:29
7522348-0,TRUE,2023-05-10T16:36:00Z,Review:12  BId:1  Tmins:18 PageViews:13
7538736-0,TRUE,2023-04-04T18:32:00Z,Review:7  BId:0  Tmins:5 PageViews:1
7784276-0,TRUE,2023-04-17T20:33:00Z,Review:22  BId:3  Tmins:19 PageViews:11
7826452-0,TRUE,2023-05-16T09:22:00Z,Review:3  BId:0  Tmins:9 PageViews:0
7843199-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7908256-0,TRUE,2023-05-04T14:31:00Z,Review:5  BId:2  Tmins:49 PageViews:10
7927060-0,TRUE,2023-05-08T04:52:00Z,Review:138  BId:29  Tmins:112 PageViews:58
8042908-0,TRUE,2023-04-27T09:50:00Z,Review:7  BId:3  Tmins:15 PageViews:8
8045532-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8286739-0,TRUE,2023-03-18T17:31:00Z,Review:4  BId:2  Tmins:3 PageViews:1
