Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xHl1IAE,Cancellation,2022-11-01
800Do000000xHmRIAU,Cancellation,2022-11-01
800Do000000xHmqIAE,Cancellation,2022-11-01
800Do000000xHqAIAU,Cancellation,2022-11-01
800Do000000xHwcIAE,Cancellation,2022-11-01
800Do000000xHxDIAU,Cancellation,2022-11-01
800Do000000xI1IIAU,Cancellation,2022-11-01
800Do000000x96wIAA,Cancellation,2022-11-01
800Do000000x9D5IAI,Cancellation,2022-11-01
800Do000000x9EvIAI,Cancellation,2022-11-01
800Do000000x9fOIAQ,Cancellation,2022-11-01
800Do000000x9uyIAA,Cancellation,2022-11-01
800Do000000xADOIA2,Cancellation,2022-11-01
800Do000000xAJxIAM,Cancellation,2022-11-01
800Do000000xAihIAE,Cancellation,2022-11-01
800Do000000xAlBIAU,Cancellation,2022-11-01
800Do000000xAvAIAU,Cancellation,2022-11-01
800Do000000xBD6IAM,Cancellation,2022-11-01
800Do000000xBFtIAM,Cancellation,2022-11-01
800Do000000xBFwIAM,Cancellation,2022-11-01
800Do000000xBNHIA2,Cancellation,2022-11-01
800Do000000xBTQIA2,Cancellation,2022-11-01
800Do000000xBY5IAM,Cancellation,2022-11-01
800Do000000xBeBIAU,Cancellation,2022-11-01
800Do000000xBqEIAU,Cancellation,2022-11-01
800Do000000xC1TIAU,Cancellation,2022-11-01
800Do000000xC1ZIAU,Cancellation,2022-11-01
800Do000000xC1bIAE,Cancellation,2022-11-01
800Do000000xC1eIAE,Cancellation,2022-11-01
800Do000000xCQgIAM,Cancellation,2022-11-01
800Do000000xCQrIAM,Cancellation,2022-11-01
800Do000000xCRPIA2,Cancellation,2022-11-01
800Do000000xCbFIAU,Cancellation,2022-11-01
800Do000000xCbNIAU,Cancellation,2022-11-01
800Do000000xCylIAE,Cancellation,2022-11-01
800Do000000xDKDIA2,Cancellation,2022-11-01
800Do000000xDSrIAM,Cancellation,2022-11-01
800Do000000xDdvIAE,Cancellation,2022-11-01
800Do000000xEBOIA2,Cancellation,2022-11-01
800Do000000xEBeIAM,Cancellation,2022-11-01
800Do000000xEPAIA2,Cancellation,2022-11-01
800Do000000xEYRIA2,Cancellation,2022-11-01
800Do000000xFSuIAM,Cancellation,2022-11-01
800Do000000xFbEIAU,Cancellation,2022-11-01
800Do000000xFepIAE,Cancellation,2022-11-01
800Do000000xFvXIAU,Cancellation,2022-11-01
800Do000000xG7AIAU,Cancellation,2022-11-01
800Do000000xG98IAE,Cancellation,2022-11-01
800Do000000xGJrIAM,Cancellation,2022-11-01
800Do000000xGL1IAM,Cancellation,2022-11-01
800Do000000xGLlIAM,Cancellation,2022-11-01
800Do000000xGMNIA2,Cancellation,2022-11-01
800Do000000xGMpIAM,Cancellation,2022-11-01
800Do000000xGRoIAM,Cancellation,2022-11-01
800Do000000xGSwIAM,Cancellation,2022-11-01
800Do000000xGeqIAE,Cancellation,2022-11-01
800Do000000xGfMIAU,Cancellation,2022-11-01
800Do000000xGfNIAU,Cancellation,2022-11-01
800Do000000xGfWIAU,Cancellation,2022-11-01
800Do000000xGfaIAE,Cancellation,2022-11-01
800Do000000xH5FIAU,Cancellation,2022-11-01
800Do000000xHQnIAM,Cancellation,2022-11-01
800Do000000xHbFIAU,Cancellation,2022-11-01
800Do000000xHclIAE,Cancellation,2022-11-01
800Do000000xHinIAE,Cancellation,2022-11-01
800Do000000xHnIIAU,Cancellation,2022-11-01
800Do000000xHooIAE,Cancellation,2022-11-01
800Do000000xHp2IAE,Cancellation,2022-11-01
800Do000000xHpMIAU,Cancellation,2022-11-01
800Do000000xHqfIAE,Cancellation,2022-11-01
800Do000000xI0QIAU,Cancellation,2022-11-01
800Do000000xI1jIAE,Cancellation,2022-11-01
800Do000000xI28IAE,Cancellation,2022-11-01
800Do000000xI29IAE,Cancellation,2022-11-01
800Do000000x9uiIAA,Cancellation,2022-11-01
800Do000000xAN5IAM,Cancellation,2022-11-01
800Do000000xAXfIAM,Cancellation,2022-11-01
800Do000000xAkrIAE,Cancellation,2022-11-01
800Do000000xApLIAU,Cancellation,2022-11-01
800Do000000xB5IIAU,Cancellation,2022-11-01
800Do000000xBEwIAM,Cancellation,2022-11-01
800Do000000xBHSIA2,Cancellation,2022-11-01
800Do000000xBd4IAE,Cancellation,2022-11-01
