Id,StartDate,EndDate,Amendment_Type__c,SBQQ__AmendmentOwner__c,Status,SBQQ__AmendmentStartDate__c,Auto_Close_Cancellation__c,Renewal_Mode__c,Account.Customer_Id__c,Count_of_Blue_Book_Subs__c
800Do000000xGpAIAU,2022-06-01,2024-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8929311,10
800Do000000xGpGIAU,2022-06-01,2024-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8937744,6
800Do000000xGpUIAU,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8941772,6
800Do000000xGpYIAU,2022-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8941900,5
800Do000000xGpaIAE,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8943537,4
800Do000000xGpdIAE,2022-07-01,2024-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8944529,6
800Do000000xGpuIAE,2022-08-01,2024-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8952138,8
800Do000000xGpyIAE,2022-08-01,2024-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8953201,8
800Do000000xGq3IAE,2022-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,8955612,2
800Do000000xGtEIAU,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,968584,12
800Do000000xH4vIAE,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,95179,16
800Do000000xH5DIAU,2021-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,972796,6
800Do000000xH5FIAU,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,974436,12
800Do000000xH5PIAU,2022-02-01,2024-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,980283,12
800Do000000xH5VIAU,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,982040,8
800Do000000xH9CIAU,2021-05-01,2023-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1035171,6
800Do000000xHANIA2,2022-05-01,2024-04-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,116904,18
800Do000000xHBTIA2,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,128066,92
800Do000000xHEmIAM,2021-12-01,2023-11-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1378659,74
800Do000000xHEsIAM,2022-10-01,2024-09-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00144807,20
800Do000000xHGGIA2,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,178040,10
800Do000000xHH1IAM,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,19503,6
800Do000000xHKmIAM,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,2089299,8
