Id,Amendment_Type__c,SBQQ__AmendmentStartDate__c
800Do000000xFppIAE,Cancellation,11/1/2022
800Do000000xFyvIAE,Cancellation,11/1/2022
800Do000000xGKeIAM,Cancellation,11/1/2022
800Do000000xGMCIA2,Cancellation,11/1/2022
800Do000000xGMoIAM,Cancellation,11/1/2022
800Do000000xGVtIAM,Cancellation,11/1/2022
800Do000000xGVvIAM,Cancellation,11/1/2022
800Do000000xGW3IAM,Cancellation,11/1/2022
800Do000000xGW4IAM,Cancellation,11/1/2022
800Do000000xGW8IAM,Cancellation,11/1/2022
800Do000000xGeCIAU,Cancellation,11/1/2022
800Do000000xGeaIAE,Cancellation,11/1/2022
800Do000000xGfCIAU,Cancellation,11/1/2022
800Do000000xGo8IAE,Cancellation,11/1/2022
800Do000000xGoYIAU,Cancellation,11/1/2022
800Do000000xGoaIAE,Cancellation,11/1/2022
800Do000000xGogIAE,Cancellation,11/1/2022
800Do000000xGokIAE,Cancellation,11/1/2022
800Do000000xGorIAE,Cancellation,11/1/2022
800Do000000xHANIA2,Cancellation,11/1/2022
800Do000000xHVfIAM,Cancellation,11/1/2022
800Do000000xHbDIAU,Cancellation,11/1/2022
800Do000000xHkfIAE,Cancellation,11/1/2022
800Do000000xHozIAE,Cancellation,11/1/2022
800Do000000xI2OIAU,Cancellation,11/1/2022
800Do000000xI2PIAU,Cancellation,11/1/2022
800Do000000x9EgIAI,Cancellation,11/1/2022
800Do000000x9OUIAY,Cancellation,11/1/2022
800Do000000x9UxIAI,Cancellation,11/1/2022
800Do000000xAZSIA2,Cancellation,11/1/2022
800Do000000xAurIAE,Cancellation,11/1/2022
800Do000000xB4aIAE,Cancellation,11/1/2022
800Do000000xBtvIAE,Cancellation,11/1/2022
800Do000000xCALIA2,Cancellation,11/1/2022
800Do000000xCAaIAM,Cancellation,11/1/2022
800Do000000xCFfIAM,Cancellation,11/1/2022
800Do000000xCG5IAM,Cancellation,11/1/2022
800Do000000xCc4IAE,Cancellation,11/1/2022
800Do000000xCc8IAE,Cancellation,11/1/2022
