Id,BB_Stats__c,Account_Number__c,BB_Last_Sync_Date__c,NS_Invoice_Due_Date__c,BB_Account__c,BB_Account_Sequence__c,Revenue_Account_ID__c,NS_Invoice_Amt_Due__c
0013i000005AvvGAAS,2564910,,,,2564910,2564910-0,,0
0013i000005AvvHAAS,7891002,,,,7891002,7891002-0,,0
0013i000005AvviAAC,134885,,,,134885,134885-0,,0
0013i000005AvvzAAC,8371169,,,,8371169,8371169-0,,0
0013i000005Avw6AAC,296692,,,,296692,296692-0,,0
0013i000005AvwGAAS,540354,,,,540354,540354-0,,0
0013i000005AvwJAAS,6549600,,,,6549600,6549600-0,,0
0013i000005AvwKAAS,123070,,,,123070,123070-0,,0
0013i000005AvwLAAS,8263117,,,,8263117,8263117-0,,0
0013i000005AvwbAAC,1077729,,,,1077729,1077729-0,,0
0013i000005AvwfAAC,129611,,,,129611,129611-0,,0
0013i000005AvwlAAC,466730,,,,466730,466730-0,,0
0013i000005AvwmAAC,459266,,,,459266,459266-0,,0
0013i000005AvwuAAC,8617290,,,,8617290,8617290-0,,0
0013i000005Avx6AAC,8688323,,,,8688323,8688323-0,,0
0013i000005AvxcAAC,7280768,,,,7280768,7280768-0,,0
0013i000005AvxyAAC,521126,,,,521126,521126-0,,0
0013i000005AvxzAAC,241672,,,,241672,241672-0,,0
0013i000005Avy8AAC,794237,,,,794237,794237-0,,0
0013i000005AvylAAC,8069713,,,,8069713,8069713-0,,0
0013i000005AvyqAAC,413518,,,,413518,413518-0,,0
0013i000005AvyxAAC,18009,,,,18009,18009-0,,0
0013i000005Avz3AAC,663017,,,,663017,663017-0,,0
0013i000005AvzPAAS,7595273,,,,7595273,7595273-0,,0
0013i000005AvzUAAS,174438,,,,174438,174438-0,,0
0013i000005AvzdAAC,838529,,,,838529,838529-0,,0
0013i000005AvziAAC,903167,,,,903167,903167-0,,0
0013i000005Aw02AAC,1173397,,,,1173397,1173397-0,,0
0013i000005Aw0DAAS,5281668,,,,5281668,5281668-0,,0
0013i000005Aw0GAAS,375317,,,,375317,375317-0,,0
0013i000005Aw0QAAS,520331,,,,520331,520331-0,,0
0013i000005Aw0ZAAS,139717,,,,139717,139717-0,,0
0013i000005Aw0lAAC,5510428,,,,5510428,5510428-0,,0
0013i000005Aw0yAAC,1082169,,,,1082169,1082169-0,,0
0013i000005Aw0zAAC,712306,,,,712306,712306-0,,0
0013i000005Aw13AAC,516646,,,,516646,516646-0,,0
0013i000005Aw1LAAS,263243,,,,263243,263243-0,,0
0013i000005Aw1lAAC,5575399,,,,5575399,5575399-0,,0
0013i000005Aw24AAC,6485714,,,2023-05-27,6485714,6485714-0,D11549698,4625
0013i000005Aw2BAAS,4708997,,,,4708997,4708997-0,,0
0013i000005Aw2SAAS,785010,,,,785010,785010-0,,0
0013i000005Aw2TAAS,708625,,,,708625,708625-0,D00085496,0
0013i000005Aw2pAAC,634267,,,,634267,634267-0,,0
0013i000005Aw2zAAC,610382,,,2023-06-01,610382,610382-0,,1888.51
0013i000005Aw35AAC,629627,,,,629627,629627-0,,0
0013i000005Aw37AAC,1081916,,,,1081916,1081916-0,,0
0013i000005Aw3XAAS,4614282,,,,4614282,4614282-0,,0
0013i000005Aw3mAAC,7583116,,,,7583116,7583116-0,,0
0013i000005Aw48AAC,602598,,,,602598,602598-0,,0
0013i000005Aw4TAAS,7867028,,,,7867028,7867028-0,,0
0013i000005Aw4hAAC,6641777,,,,6641777,6641777-0,,0
0013i000005B0FGAA0,4558602,,,,4558602,4558602-0,,0
0013i000005B0FYAA0,485853,,,,485853,485853-0,D00432310,0
0013i000005B0FiAAK,7233664,,,,7233664,7233664-0,D00134301,0
0013i000005B0FjAAK,4816938,,,,4816938,4816938-0,,0
0013i000005B0FyAAK,7272304,,,,7272304,7272304-0,,0
0013i000005B0FzAAK,7684529,,,2023-05-01,7684529,7684529-0,D11141405,1175
0013i000005B0GIAA0,460217,,,,460217,460217-0,,0
0013i000005B0GSAA0,7838093,,,,7838093,7838093-0,,0
0013i000005B0GTAA0,8473112,,,,8473112,8473112-0,,0
0013i000005B0GUAA0,471320,,,,471320,471320-0,,0
0013i000005B0GoAAK,31855,,,,31855,31855-0,,0
0013i000005B0H7AAK,7117867,,,,7117867,7117867-0,,0
0013i000005B0HNAA0,882542,,,,882542,882542-0,,0
0013i000005B0HOAA0,4245783,,,,4245783,4245783-0,,0
0013i000005B0HSAA0,8641604,,,,8641604,8641604-0,,0
0013i000005B0HuAAK,4490981,,,,4490981,4490981-0,D00138984,0
0013i000005B0HxAAK,6697115,,,,6697115,6697115-0,,0
0013i000005B0HyAAK,2576747,,,,2576747,2576747-0,,0
0013i000005B0I4AAK,2029878,,,,2029878,2029878-0,D11211273,0
0013i000005B0I9AAK,3635217,,,,3635217,3635217-0,,0
0013i000005B0IYAA0,930436,,,,930436,930436-0,,0
0013i000005B0IdAAK,4415427,,,,4415427,4415427-0,,0
0013i000005B0IhAAK,538698,,,,538698,538698-0,,0
0013i000005B0IoAAK,625043,,,,625043,625043-0,,0
0013i000005B0IpAAK,1358990,,,,1358990,1358990-0,,0
0013i000005B0IwAAK,7624231,,,,7624231,7624231-0,,0
0013i000005B0IxAAK,4307332,,,,4307332,4307332-0,,0
0013i000005B0J8AAK,8665975,,,,8665975,8665975-0,,0
0013i000005B0J9AAK,7998355,,,,7998355,7998355-0,,0
0013i000005B0JEAA0,4419731,,,,4419731,4419731-0,,0
0013i000005B0JIAA0,181852,,,,181852,181852-0,D00141847,0
0013i000005B0JRAA0,7816239,,,,7816239,7816239-0,,0
0013i000005B0JaAAK,610378,,,,610378,610378-0,,0
0013i000005B0JjAAK,5304946,,,,5304946,5304946-0,,0
0013i000005B0JnAAK,4213363,,,,4213363,4213363-0,,0
0013i000005B0K0AAK,722720,,,,722720,722720-0,,0
0013i000005B0KGAA0,2198668,,,,2198668,2198668-0,,0
0013i000005B0KMAA0,4718378,,,,4718378,4718378-0,,0
0013i000005B0KQAA0,8563232,,,,8563232,8563232-0,,0
0013i000005B0KUAA0,796398,,,,796398,796398-0,,0
0013i000005B0KvAAK,204746,,,,204746,204746-0,,0
0013i000005B0KzAAK,7042454,,,,7042454,7042454-0,,0
0013i000005B0L7AAK,3123949,,,,3123949,3123949-0,,0
0013i000005B0LCAA0,3030087,,,,3030087,3030087-0,,0
0013i000005B0LOAA0,2270754,,,,2270754,2270754-0,,0
0013i000005B0LUAA0,707973,,,,707973,707973-0,D00112106,0
0013i000005B0LwAAK,279313,,,,279313,279313-0,,0
0013i000005B0MBAA0,6222315,,,,6222315,6222315-0,,0
0013i000005B0MEAA0,857464,,,,857464,857464-0,,0
0013i000005B0MQAA0,722981,,,,722981,722981-0,,0
0013i000005B0MSAA0,520817,,,,520817,520817-0,,0
0013i000005B0MhAAK,4464071,,,,4464071,4464071-0,,0
0013i000005B0NlAAK,2199954,,,,2199954,2199954-0,,0
0013i000005B0NsAAK,5719147,,,,5719147,5719147-0,,0
0013i000005B0NvAAK,7132493,,,,7132493,7132493-0,,0
0013i000005B0NwAAK,8646189,,,,8646189,8646189-0,,0
0013i000005B0OQAA0,5568235,,,,5568235,5568235-0,,0
0013i000005B0OTAA0,4563572,,,,4563572,4563572-0,,0
0013i000005B0OWAA0,538879,,,,538879,538879-0,,0
0013i000005B0S5AAK,450068,,,,450068,450068-0,,0
0013i000005B0SAAA0,4797147,,,,4797147,4797147-0,,0
0013i000005B0SCAA0,2633406,,,,2633406,2633406-0,,0
0013i000005B0SEAA0,512412,,,,512412,512412-0,D00135963,0
0013i000005B0SWAA0,4276381,,,,4276381,4276381-0,,0
0013i000005B0SZAA0,6930250,,,,6930250,6930250-0,,0
0013i000005B0SwAAK,1085571,,,,1085571,1085571-0,,0
0013i000005B0TEAA0,492381,,,,492381,492381-0,,0
0013i000005B0U5AAK,4257918,,,,4257918,4257918-0,,0
0013i000005B0UsAAK,3118093,,,,3118093,3118093-0,,0
0013i000005B0UwAAK,574194,,,,574194,574194-0,,0
0013i000005B0ZBAA0,579643,,,,579643,579643-0,,0
0013i000005B0ZFAA0,659313,,,,659313,659313-0,,0
0013i000005B0ZJAA0,695894,,,,695894,695894-0,,0
0013i000005B0ZLAA0,1149658,,,,1149658,1149658-0,,0
0013i000005B0ZlAAK,5523970,,,,5523970,5523970-0,,0
0013i000005B0atAAC,519508,,,,519508,519508-0,,0
0013i000005B0brAAC,5018721,,,,5018721,5018721-0,,0
0013i000005B0c2AAC,6933672,,,,6933672,6933672-0,,0
0013i000005B0c8AAC,754749,,,,754749,754749-0,,0
0013i000005B0cLAAS,3180265,,,,3180265,3180265-0,,0
0013i000005B0fMAAS,7520139,,,,7520139,7520139-0,,0
0013i000005B0fOAAS,6931174,,,,6931174,6931174-0,,0
0013i000005B0fYAAS,3104937,,,,3104937,3104937-0,,0
0013i000005B0fbAAC,8747873,,,,8747873,8747873-0,,0
0013i000005B0flAAC,3098827,,,,3098827,3098827-0,,0
0013i000005B0fmAAC,2150494,,,,2150494,2150494-0,,0
0013i000005B0fnAAC,328080,,,,328080,328080-0,,0
0013i000005B0fyAAC,728520,,,,728520,728520-0,,0
0013i000005B0hPAAS,7976095,,,,7976095,7976095-0,,0
