External_Id__c,SBQQ__FilterField__c,SBQQ__FilterValue__c,SBQQ__Operator__c,SBQQ__Product__r.External_ID__c,SBQQ__Required__c,SBQQ__Rule__r.External_Id__c,SBQQ__Type__c,SBQQ__ValueAttribute__r.External_Id__c,SBQQ__ValueField__c,SBQQ__ValueObject__c
,,,,EX-0000027,false,,Show & Add,,,
,,,,EX-0010758,false,,Add,,,
,,,,EX-0000027,false,,Hide & Remove,,,
,Zone_Type__c,DCC County,equals,,false,,Default Filter,,,
