Id,Sprint__c,Effort__c
a8rDo000000wnx6IAA,Backlog,
a8rDo000000wnxBIAQ,Backlog,
a8rDo000000wnxGIAQ,Backlog,
a8rDo000000wnxLIAQ,Backlog,
a8rDo000000wnxQIAQ,Backlog,
a8rDo000000wnxVIAQ,Backlog,
a8rDo000000wnxaIAA,Backlog,
a8rDo000000wnxfIAA,Backlog,
a8rDo000000wnxkIAA,Backlog,
a8rDo000000wnxpIAA,Backlog,
a8rDo000000wnxuIAA,Backlog,
a8rDo000000wnxzIAA,Backlog,
a8rDo000000wny4IAA,Backlog,
a8rDo000000wny9IAA,Backlog,
a8rDo000000wnyEIAQ,Backlog,
a8rDo000000wnyJIAQ,Backlog,
a8rDo000000wnyOIAQ,Backlog,
a8rDo000000wnyTIAQ,Backlog,
a8rDo000000wnyYIAQ,Backlog,
a8rDo000000wnydIAA,Backlog,
a8rDo000000wnyiIAA,Backlog,
a8rDo000000wnynIAA,Backlog,
a8rDo000000wnysIAA,Backlog,
a8rDo000000wnyxIAA,Backlog,
a8rDo000000wnz2IAA,Backlog,
a8rDo000000wnz7IAA,Backlog,
a8rDo000000wnzCIAQ,Backlog,
a8rDo000000wnzHIAQ,Backlog,
a8rDo000000wnzMIAQ,Backlog,
a8rDo000000wnzRIAQ,Backlog,
a8rDo000000wnzWIAQ,Backlog,
a8rDo000000wnzbIAA,Backlog,
a8rDo000000wnzgIAA,Backlog,
a8rDo000000wnzlIAA,Backlog,
a8rDo000000wnzqIAA,Backlog,
a8rDo000000wnzvIAA,Backlog,
a8rDo000000wo00IAA,Backlog,
a8rDo000000wo05IAA,Backlog,
a8rDo000000wo0AIAQ,Backlog,
a8rDo000000wo0FIAQ,Backlog,
a8rDo000000wo0KIAQ,Backlog,
a8rDo000000wo0PIAQ,Backlog,
a8rDo000000wo0UIAQ,Backlog,
a8rDo000000wo0ZIAQ,Backlog,
a8rDo000000wo0eIAA,Backlog,
a8rDo000000wo0jIAA,Backlog,
a8rDo000000wo0oIAA,Backlog,
a8rDo000000wo0tIAA,Backlog,
a8rDo000000wo0yIAA,Backlog,
a8rDo000000wo13IAA,Backlog,
a8rDo000000wo18IAA,Backlog,
a8rDo000000wo1DIAQ,Backlog,
a8rDo000000wo1IIAQ,Backlog,
a8rDo000000wo1NIAQ,Backlog,
a8rDo000000wo1SIAQ,Backlog,Low
a8rDo000000wo1XIAQ,Backlog,
a8rDo000000wo1cIAA,Backlog,
a8rDo000000wo1hIAA,Backlog,
a8rDo000000wo1mIAA,Backlog,
a8rDo000000wo1rIAA,Backlog,
a8rDo000000wo1wIAA,Backlog,
a8rDo000000wo21IAA,Backlog,
a8rDo000000wo26IAA,Backlog,
a8rDo000000wo2BIAQ,Backlog,
a8rDo000000wo2GIAQ,Backlog,Low
a8rDo000000wo2LIAQ,Backlog,
a8rDo000000wo2QIAQ,Backlog,Low
a8rDo000000wo2VIAQ,Backlog,Low
a8rDo000000wo2aIAA,Backlog,
a8rDo000000wo2fIAA,Backlog,
a8rDo000000wo2kIAA,Backlog,
a8rDo000000wo2pIAA,Backlog,
a8rDo000000wo2uIAA,Backlog,
a8rDo000000wo2zIAA,Backlog,
a8rDo000000wo34IAA,Backlog,
a8rDo000000wo3EIAQ,Backlog,
a8rDo000000wo3JIAQ,Backlog,
a8rDo000000wo3OIAQ,Backlog,
a8rDo000000wo3TIAQ,Backlog,
a8rDo000000wo3YIAQ,Backlog,
a8rDo000000wo3dIAA,Backlog,
a8rDo000000wo3iIAA,Backlog,
a8rDo000000wo3nIAA,Backlog,
a8rDo000000wo3sIAA,Backlog,
a8rDo000000wo3xIAA,Backlog,
a8rDo000000wo42IAA,Backlog,
a8rDo000000wo47IAA,Backlog,
a8rDo000000wo48IAA,Backlog,
a8rDo000000wo4CIAQ,Backlog,
a8rDo000000wo4HIAQ,Backlog,
a8rDo000000wo4MIAQ,Backlog,
a8rDo000000wo4RIAQ,Backlog,
a8rDo000000wo4WIAQ,Backlog,
a8rDo000000wo4bIAA,Backlog,
a8rDo000000wo4gIAA,Backlog,
a8rDo000000wo4lIAA,Backlog,
a8rDo000000wo4qIAA,Backlog,
a8rDo000000wo4vIAA,Backlog,
a8rDo000000wo50IAA,Backlog,
a8rDo000000wo55IAA,Backlog,
a8rDo000000wo5AIAQ,Backlog,
a8rDo000000wo5FIAQ,Backlog,
