Id,Amendment_Type__c,Auto_Close_Cancellation__c,SBQQ__AmendmentOwner__c
800Do000000xGoQIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCcrIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCAsIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCd5IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCd7IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWXIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCB0IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWYIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGp2IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWdIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWhIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWkIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGp5IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWoIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGp8IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWqIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWtIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGpAIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGWxIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCBBIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCBDIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHr2IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGX6IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCBIIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCBMIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGpGIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGXEIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGXFIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHANIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x93MIAQ,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA87IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEKkIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAgCIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHbDIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFmHIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHozIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFppIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBd5IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC5GIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGKeIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGeCIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCavIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGo8IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVvIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGoYIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGoaIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGogIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGW3IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGW4IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCceIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGW8IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCAnIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGorIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCAyIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9EgIAI,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9OUIAY,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9UxIAI,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEalIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHR7IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAZSIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFGtIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHctIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFTJIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFv3IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBtvIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCFfIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCG5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGA6IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGBMIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfAIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGMOIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfUIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCc8IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVZIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGo4IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCALIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGo9IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVgIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVhIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCcIIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHg8IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCAaIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGVwIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCcPIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGoUIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCiKIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9OXIAY,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA90IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9rWIAQ,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9rqIAA,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xE9pIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA2CIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA2nIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEm8IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAdmIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHQbIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xADwIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xArDIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFDJIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xF5lIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFGjIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAuaIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFT5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBiQIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFfEIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBRXIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFo3IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xI0hIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFyHIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGIwIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBq2IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBzpIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC0jIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC1cIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGfgIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGMuIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC9iIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xC9lIAE,Cancellation,TRUE,0053i000002SxjyAAC
