Id,SBQQ__PaymentTerms__c,ApprovalStatus__c
a6GDo0000000EVdMAM,NET30,Pending
a6GDo0000000EWqMAM,NET30,Draft
a6GDo0000000EY3MAM,NET30,Draft
a6GDo0000000EY8MAM,NET30,Draft
a6GDo0000000EYSMA2,NET30,Sent to Customer
a6GDo0000000EYmMAM,NET30,Draft
a6GDo0000000EZBMA2,NET30,Draft
a6GDo0000000EZVMA2,NET30,Approved
a6GDo0000000EZzMAM,NET30,Draft
a6GDo0000000EadMAE,NET30,Draft
a6GDo0000000Ec5MAE,NET30,Draft
a6GDo0000000EcKMAU,NET30,Sent to Customer
a6GDo0000000EepMAE,NET30,Draft
a6GDo0000000EeuMAE,NET30,Sent to Customer
a6GDo0000000EfTMAU,NET30,Draft
a6GDo0000000EfYMAU,NET30,Draft
a6GDo0000000EfdMAE,NET30,Approved
a6GDo0000000EfjMAE,NET30,Draft
a6GDo0000000Eg2MAE,NET30,Draft
a6GDo0000000EgMMAU,NET30,Draft
a6GDo0000000EggMAE,NET30,Sent to Customer
a6GDo0000000EglMAE,NET30,Sent to Customer
a6GDo0000000EgvMAE,NET30,Approved
a6GDo0000000EhAMAU,NET30,Sent to Customer
a6GDo0000000EhFMAU,NET30,Sent to Customer
a6GDo0000000EhPMAU,NET30,Sent to Customer
a6GDo0000000EiDMAU,NET30,Approved
a6GDo0000000EjBMAU,NET30,Sent to Customer
a6GDo0000000EjGMAU,NET30,
a6GDo0000000EjLMAU,NET30,Recalled
a6GDo0000000EjQMAU,NET30,
a6GDo0000000EjpMAE,NET30,Rejected
a6GDo0000000ElCMAU,NET30,Sent to Customer
a6GDo0000000ElRMAU,NET30,Draft
a6GDo0000000ElWMAU,NET30,Draft
a6GDo0000000EllMAE,NET30,Approved
a6GDo0000000ElqMAE,NET30,Sent to Customer
a6GDo0000000ElvMAE,NET30,Draft
a6GDo0000000Em0MAE,NET30,Draft
a6GDo0000000EmAMAU,NET30,Sent to Customer
a6GDo0000000EmFMAU,NET30,Sent to Customer
a6GDo0000000EmoMAE,NET30,
a6GDo0000000EmyMAE,NET30,Approved
a6GDo0000000En3MAE,NET30,Draft
a6GDo0000000EnDMAU,NET30,Draft
a6GDo0000000EnIMAU,NET30,Sent to Customer
a6GDo0000000EnrMAE,NET30,Sent to Customer
a6GDo0000000Eo1MAE,NET30,Draft
a6GDo0000000EoaMAE,NET30,
a6GDo0000000EokMAE,NET30,Draft
a6GDo0000000EopMAE,NET30,Sent to Customer
a6GDo0000000EozMAE,NET30,Draft
a6GDo0000000Ep4MAE,NET30,Sent to Customer
a6GDo0000000Ep9MAE,NET30,Approved
a6GDo0000000EpJMAU,NET30,Draft
a6GDo0000000EpiMAE,NET30,Draft
a6GDo0000000EpnMAE,NET30,Draft
a6GDo0000000EqvMAE,NET30,
a6GDo0000000Er0MAE,NET30,Sent to Customer
a6GDo0000000ErAMAU,NET30,
a6GDo0000000ErFMAU,NET30,
a6GDo0000000EreMAE,NET30,Draft
a6GDo0000000ErjMAE,NET30,Sent to Customer
a6GDo0000000EroMAE,NET30,
a6GDo0000000EryMAE,NET30,Sent to Customer
a6GDo0000000EsSMAU,NET30,Draft
a6GDo0000000EswMAE,NET30,Draft
a6GDo0000000EtQMAU,NET30,Draft
a6GDo0000000EuiMAE,NET30,Sent to Customer
a6GDo0000000EvMMAU,NET30,Draft
a6GDo0000000EvRMAU,NET30,Pending
a6GDo0000000ExIMAU,NET30,Draft
a6GDo0000000F0bMAE,NET30,Sent to Customer
a6GDo0000000F15MAE,NET30,Sent to Customer
a6GDo0000000F1FMAU,NET30,Sent to Customer
a6GDo0000000F1PMAU,NET30,Draft
a6GDo0000000F1UMAU,NET30,Recalled
a6GDo0000000F1ZMAU,NET30,Draft
a6GDo0000000F1jMAE,NET30,Draft
a6GDo0000000F1oMAE,NET30,Draft
a6GDo0000000F1tMAE,NET30,Draft
a6GDo0000000F2NMAU,NET30,Sent to Customer
a6GDo0000000F2wMAE,NET30,Sent to Customer
a6GDo0000000F3GMAU,NET30,Sent to Customer
a6GDo0000000F3VMAU,NET30,Recalled
a6GDo0000000F3fMAE,NET30,Sent to Customer
a6GDo0000000F4TMAU,NET30,Draft
a6GDo0000000F4nMAE,NET30,Draft
a6GDo0000000F60MAE,NET30,Draft
a6GDo0000000F6PMAU,NET30,Draft
a6GDo0000000F6ZMAU,NET30,
a6GDo0000000F6eMAE,NET30,Draft
a6GDo0000000F6jMAE,NET30,Sent to Customer
a6GDo0000000F6tMAE,NET30,Sent to Customer
a6GDo0000000F7IMAU,NET30,Sent to Customer
a6GDo0000000F7NMAU,NET30,Approved
a6GDo0000000F86MAE,NET30,Pending
a6GDo0000000F8GMAU,NET30,Approved
a6GDo0000000F8LMAU,NET30,Draft
a6GDo0000000F8fMAE,NET30,
a6GDo0000000F8MMAU,NET30,Draft
a6GDo0000000FA7MAM,NET30,Sent to Customer
a6GDo0000000FAMMA2,NET30,Sent to Customer
a6GDo0000000FB5MAM,NET30,Draft
a6GDo0000000FBjMAM,NET30,Sent to Customer
a6GDo0000000FDQMA2,NET30,Sent to Customer
a6GDo0000000FDaMAM,NET30,Sent to Customer
a6GDo0000000FEYMA2,NET30,Draft
a6GDo0000000FEnMAM,NET30,Sent to Customer
a6GDo0000000FExMAM,NET30,Recalled
a6GDo0000000FF7MAM,NET30,Draft
a6GDo0000000FFCMA2,NET30,Draft
a6GDo0000000FFHMA2,NET30,Draft
a6GDo0000000FFgMAM,NET30,Draft
a6GDo0000000FFlMAM,NET30,
a6GDo0000000FFvMAM,NET30,Sent to Customer
a6GDo0000000FG5MAM,NET30,Draft
a6GDo0000000FGAMA2,NET30,Draft
a6GDo0000000FGKMA2,NET30,Draft
a6GDo0000000FGZMA2,NET30,Draft
a6GDo0000000FH3MAM,NET30,Sent to Customer
a6GDo0000000FHXMA2,NET30,Draft
a6GDo0000000FHmMAM,NET30,Draft
a6GDo0000000FIpMAM,NET30,Draft
a6GDo0000000FKCMA2,NET30,Draft
a6GDo0000000FRIMA2,NET30,Draft
a6GDo0000000FUHMA2,NET30,Draft
a6GDo0000000FVtMAM,NET30,
a6GDo0000000FW3MAM,NET30,
a6GDo0000000FWDMA2,NET30,Sent to Customer
a6GDo0000000FWNMA2,NET30,
a6GDo0000000FWXMA2,NET30,
a6GDo0000000FWhMAM,NET30,
a6GDo0000000FWmMAM,NET30,
a6GDo0000000FX6MAM,NET30,
a6GDo0000000FXLMA2,NET30,
a6GDo0000000FXGMA2,NET30,
a6GDo0000000FXBMA2,NET30,
a6GDo0000000FXQMA2,NET30,
a6GDo0000000FX7MAM,NET30,
a6GDo0000000FXaMAM,NET30,
a6GDo0000000FXfMAM,NET30,
a6GDo0000000FXpMAM,NET30,
a6GDo0000000FXuMAM,NET30,
a6GDo0000000FY4MAM,NET30,
a6GDo0000000FYEMA2,NET30,
a6GDo0000000FVkMAM,NET30,
a6GDo0000000FYOMA2,NET30,
a6GDo0000000FYYMA2,NET30,
a6GDo0000000FYdMAM,NET30,
a6GDo0000000FYiMAM,NET30,
a6GDo0000000FYnMAM,NET30,
a6GDo0000000FYxMAM,NET30,Draft
a6GDo0000000FZ2MAM,NET30,
a6GDo0000000FZHMA2,NET30,
a6GDo0000000FZMMA2,NET30,
a6GDo0000000FZRMA2,NET30,
a6GDo0000000FZWMA2,NET30,
a6GDo0000000FZbMAM,NET30,
a6GDo0000000FZlMAM,NET30,
a6GDo0000000Fa0MAE,NET30,
a6GDo0000000FaKMAU,NET30,
a6GDo0000000FZmMAM,NET30,
a6GDo0000000FaPMAU,NET30,
a6GDo0000000FaZMAU,NET30,
a6GDo0000000FaoMAE,NET30,
a6GDo0000000Fb3MAE,NET30,
a6GDo0000000Fb8MAE,NET30,
a6GDo0000000FbDMAU,NET30,Sent to Customer
a6GDo0000000FXHMA2,NET30,Draft
a6GDo0000000FY0MAM,NET30,Pending
a6GDo0000000FbNMAU,NET30,
a6GDo0000000FbSMAU,NET30,
a6GDo0000000FbcMAE,NET30,
a6GDo0000000FbXMAU,NET30,
a6GDo0000000FZhMAM,NET30,
a6GDo0000000FVQMA2,NET30,
a6GDo0000000FbwMAE,NET30,
a6GDo0000000Fc6MAE,NET30,
a6GDo0000000FcBMAU,NET30,
a6GDo0000000FcGMAU,NET30,Ready to Send
a6GDo0000000FcVMAU,NET30,
a6GDo0000000FcaMAE,NET30,
a6GDo0000000FcfMAE,NET30,
a6GDo0000000FXWMA2,NET30,
a6GDo0000000Fd9MAE,NET30,
a6GDo0000000FcuMAE,NET30,
a6GDo0000000Fd4MAE,NET30,Draft
a6GDo0000000FdJMAU,NET30,
a6GDo0000000FdEMAU,NET30,
a6GDo0000000FaMMAU,NET30,
a6GDo0000000FdTMAU,NET30,
a6GDo0000000FdYMAU,NET30,
a6GDo0000000FdiMAE,NET30,
a6GDo0000000FdZMAU,NET30,Sent to Customer
a6GDo0000000FdnMAE,NET30,
a6GDo0000000FdsMAE,NET30,Recalled
a6GDo0000000FbYMAU,NET30,
a6GDo0000000Fc7MAE,NET30,
a6GDo0000000FWdMAM,NET30,
a6GDo0000000Fe2MAE,NET30,
a6GDo0000000FeCMAU,NET30,
a6GDo0000000FeHMAU,NET30,
a6GDo0000000FXlMAM,NET30,
a6GDo0000000FZ3MAM,NET30,
