Id,SBQQ__SortOrder__c,Product_Line__c
01tDo000000Ua9FIAS,,Market Sizing
01tDo000000Ua9VIAS,,Print Advertising
01tDo000000Ua9tIAC,,Market Sizing
01tDo000000UaA4IAK,,Integrations
01tDo000000UaCXIA0,,Advisory
01tDo000000UaCbIAK,,Forecasting
01tDo000000UaCcIAK,,Advisory
01tDo000000UaDXIA0,,Forecasting
01tDo000000UaDfIAK,,Advisory
01tDo000000UaEtIAK,,Print Advertising
01tDo000000UaHJIA0,,Print Advertising
01tDo000000UaHPIA0,,Advisory
01tDo000000UaHsIAK,,Market Sizing
01tDo000000UaJfIAK,,Market Intelligence
01tDo000000UaK8IAK,,Market Intelligence
01tDo000000UaLeIAK,,Forecasting
01tDo000000UaMTIA0,,Print Advertising
01tDo000000UaMXIA0,,Market Intelligence
01tDo000000UaMeIAK,,Advisory
01tDo000000UaNCIA0,,Sweets
01tDo000000UaNHIA0,,Market Sizing
01tDo000000UaNUIA0,,Other Products
01tDo000000UaPEIA0,,Print Advertising
01tDo000000UZMqIAO,,Applications
01tDo000000UZNgIAO,,Platform
01tDo000000UZNxIAO,,Market Sizing
01tDo000000UZP7IAO,,Data Licensing
01tDo000000UZPFIA4,,Market Sizing
01tDo000000UZPcIAO,,Market Sizing
01tDo000000UZPgIAO,,Sweets
01tDo000000UZPkIAO,,Plan Room
01tDo000000UZPpIAO,,Print
01tDo000000UZPrIAO,,Market Intelligence
01tDo000000UZQ0IAO,,Platform
01tDo000000UZQ5IAO,,Strategic Partnerships
01tDo000000UZQ7IAO,,Market Sizing
01tDo000000UZQCIA4,,Market Intelligence
01tDo000000UZQIIA4,,Market Intelligence
01tDo000000UZQLIA4,,Print
01tDo000000UZQUIA4,,Platform
01tDo000000UZQfIAO,,Integrations
01tDo000000UZQiIAO,,Market Sizing
01tDo000000UZRXIA4,,Market Sizing
01tDo000000UZRpIAO,,Forecasting
01tDo000000UZSWIA4,,Forecasting
01tDo000000UZSaIAO,,Platform
01tDo000000UZSmIAO,,Forecasting
01tDo000000UZT0IAO,,Sweets
01tDo000000UZTkIAO,,Integrations
01tDo000000UZTwIAO,,Platform
01tDo000000UZTyIAO,,Data Licensing
01tDo000000UZU8IAO,,Market Intelligence
01tDo000000UZUXIA4,,Integrations
01tDo000000UZUcIAO,,Print Advertising
01tDo000000UZUfIAO,,Platform
01tDo000000UZVEIA4,,Sweets
01tDo000000UZVPIA4,,Plan Room
01tDo000000UZVaIAO,,Market Sizing
01tDo000000UZWSIA4,,Forecasting
01tDo000000UZWlIAO,,Print
01tDo000000UZX3IAO,,Integrations
01tDo000000UZXCIA4,,Market Sizing
01tDo000000UZXEIA4,,Market Sizing
01tDo000000UZXFIA4,,IMS
01tDo000000UZXGIA4,,Platform
01tDo000000UZXIIA4,,Market Intelligence
01tDo000000UZY8IAO,,Integrations
01tDo000000UZY9IAO,,Integrations
01tDo000000UZYHIA4,,Market Sizing
01tDo000000UZYJIA4,,Platform
01tDo000000UZYYIA4,,Strategic Partnerships
01tDo000000UZYsIAO,,Plan Room
01tDo000000UZYxIAO,,Platform
01tDo000000UZZIIA4,,Market Intelligence
01tDo000000UZZNIA4,,Print Advertising
01tDo000000UZZcIAO,,Market Sizing
01tDo000000UZZdIAO,,Print Advertising
01tDo000000UZb5IAG,,Forecasting
01tDo000000UZcLIAW,,Business Intelligence
01tDo000000UZciIAG,,Advisory
01tDo000000UZcjIAG,,Plan Room
01tDo000000UZdKIAW,,Advisory
01tDo000000UZdNIAW,,Data Licensing
01tDo000000UZdRIAW,,Forecasting
01tDo000000UZdVIAW,,Forecasting
01tDo000000UZeGIAW,,Market Sizing
01tDo000000UZiEIAW,,Print Advertising
01t3i000000eiwWAAQ,,
01t3i000000eiwXAAQ,,
01t3i000000eiwYAAQ,,Sweets
01t3i000000eiwZAAQ,,
01t3i000000eiwbAAA,,
01t3i000000eiwgAAA,,
01t3i000000eiwhAAA,,
01t3i000000eiwlAAA,,
01t3i000000eiwvAAA,,
01t3i000000ekR9AAI,,
01t3i000000ekTxAAI,,
01t3i000000ekTyAAI,,
01t3i000000ekU2AAI,,
01t3i000000ekU7AAI,,
01t3i000000ekUCAAY,,
01t3i000000ekUHAAY,,
01t3i000000ekUMAAY,,
01t3i000000ekURAAY,,Market Intelligence
01t3i000000ekXPAAY,,
01t3i000000eknDAAQ,,
01t3i000000eknEAAQ,,
01t3i000000eknGAAQ,,
01t3i000000eknQAAQ,,
01t3i000000eknRAAQ,,
01t3i000000eknVAAQ,,
01t3i000000eknaAAA,,
01t3i000000eknfAAA,,Market Intelligence
01t3i000000eknkAAA,,
01t3i000000el4eAAA,,
01t3i000000el4jAAA,,
01t3i000000el4oAAA,,
01t3i000000el4yAAA,,
01t3i000000el53AAA,,Forecasting
01t3i000000el54AAA,,
01t3i000000el5DAAQ,,
01t3i000000el5NAAQ,,
01t3i000000fwC3AAI,,
01tDo000000UZDWIA4,,Market Sizing
01tDo000000UZDcIAO,,Market Intelligence
01tDo000000UZDkIAO,,Sweets
01tDo000000UZEoIAO,,Sweets
01tDo000000UZEzIAO,,Plan Room
01tDo000000UZF2IAO,,Forecasting
01tDo000000UZF8IAO,,Print
01tDo000000UZFUIA4,,Market Intelligence
01tDo000000UZFZIA4,,Platform
01tDo000000UZFaIAO,,Platform
01tDo000000UZHDIA4,,Print
01tDo000000UZHEIA4,,Strategic Partnerships
01tDo000000UZHKIA4,,Advisory
01tDo000000UZHWIA4,,Market Sizing
01tDo000000UZHbIAO,,Print
01tDo000000UZHnIAO,,Print
01tDo000000UZJEIA4,,Advisory
01tDo000000UZJHIA4,,Market Sizing
01tDo000000UZJLIA4,,Advisory
01tDo000000UZKoIAO,,Forecasting
01tDo000000UZL2IAO,,Print Advertising
01tDo000000UZLHIA4,,Integrations
01tDo000000UZLVIA4,,Print
01tDo000000UZLcIAO,,Market Intelligence
01tDo000000UZLkIAO,,Market Intelligence
01tDo000000UZLwIAO,,Market Intelligence
01tDo000000UZMlIAO,,Print
01tDo000000UaDrIAK,,
01tDo000000UZLXIA4,,
01tDo000000UaTYIA0,,
01tDo000000Ua1bIAC,,
01tDo000000UZh9IAG,,
01tDo000000UaHQIA0,,
01tDo000000UZwAIAW,,
01tDo000000UZclIAG,,
01tDo000000UaIoIAK,,
01tDo000000UZyUIAW,,
01tDo000000UZeLIAW,,
01tDo000000UaDYIA0,,
01tDo000000UZsxIAG,,
01tDo000000UaT9IAK,,
01tDo000000Ua15IAC,,
01tDo000000UZgbIAG,,
01tDo000000UaH1IAK,,
01tDo000000UZvrIAG,,
01tDo000000UZc6IAG,,
01tDo000000UaBtIAK,,
01tDo000000UZy5IAG,,
01tDo000000UaHgIAK,,
01tDo000000UZwCIAW,,
01tDo000000UZwcIAG,,
01tDo000000UZbcIAG,,
01tDo000000UZc3IAG,,
01tDo000000UaIzIAK,,
01tDo000000UaJeIAK,,
01tDo000000UZNMIA4,,
01tDo000000UZykIAG,,
01tDo000000UZeYIAW,,
01tDo000000UZe6IAG,,
01tDo000000UaDxIAK,,
01tDo000000UaE2IAK,,
01tDo000000UZtOIAW,,
01tDo000000UZtsIAG,,
01tDo000000UaTaIAK,,
01tDo000000UaMwIAK,,
01tDo000000UZP4IAO,,
01tDo000000Ua1EIAS,,
01tDo000000UZhIIAW,,
01tDo000000UZhAIAW,,
01tDo000000UaHRIA0,,
01tDo000000UZUjIAO,,
01tDo000000UZMVIA4,,
01tDo000000UZwiIAG,,
01tDo000000UZcrIAG,,
01tDo000000UZcDIAW,,
01tDo000000UZVBIA4,,
01tDo000000UZVAIA4,,
01tDo000000UZyYIAW,,
01tDo000000UZyrIAG,,
01tDo000000UZeKIAW,,
01tDo000000UZFrIAO,,
01tDo000000UaEZIA0,,
01tDo000000UaE8IAK,,
01tDo000000UZLSIA4,,
01tDo000000UaTQIA0,,
01tDo000000UaN0IAK,,
01tDo000000Ua1VIAS,,
01tDo000000Ua2OIAS,,
01tDo000000UZguIAG,,
01tDo000000UZhOIAW,,
01tDo000000UZULIA4,,
01tDo000000UZUFIA4,,
01tDo000000UZw5IAG,,
01tDo000000UZMrIAO,,
01tDo000000UZcdIAG,,
01tDo000000UZkCIAW,,
01tDo000000UaIkIAK,,
01tDo000000UaIuIAK,,
01tDo000000UZyPIAW,,
01tDo000000UZeQIAW,,
01tDo000000UaDqIAK,,
01tDo000000UZtIIAW,,
01tDo000000UaTXIA0,,
01tDo000000Ua1cIAC,,
01tDo000000UZhBIAW,,
01tDo000000UaHTIA0,,
01tDo000000UZMTIA4,,
01tDo000000UZcmIAG,,
01tDo000000Ua2fIAC,,
01tDo000000UZGkIAO,,
01tDo000000UZizIAG,,
01tDo000000UaHmIAK,,
01tDo000000UaHSIA0,,
01tDo000000UZwjIAG,,
01tDo000000UZx0IAG,,
01tDo000000UZcAIAW,,
01tDo000000UZkFIAW,,
01tDo000000UaInIAK,,
01tDo000000UaIxIAK,,
01tDo000000UZynIAG,,
01tDo000000UZyMIAW,,
01tDo000000UZfPIAW,,
01tDo000000UZfhIAG,,
01tDo000000UZTLIA4,,
01tDo000000UZTcIAO,,
01tDo000000UZt9IAG,,
01tDo000000UZtJIAW,,
01tDo000000UaN5IAK,,
01tDo000000UZWXIA4,,
01tDo000000Ua2RIAS,,
01tDo000000UZPKIA4,,
01tDo000000UZhLIAW,,
01tDo000000UZigIAG,,
01tDo000000UaHAIA0,,
01tDo000000UaHLIA0,,
01tDo000000UZwuIAG,,
01tDo000000UZwJIAW,,
01tDo000000UZkBIAW,,
01tDo000000UZHwIAO,,
01tDo000000UaIwIAK,,
01tDo000000UaJxIAK,,
01tDo000000UZyKIAW,,
01tDo000000UZyQIAW,,
01tDo000000UZfiIAG,,
01tDo000000UZefIAG,,
01tDo000000UaF2IAK,,
01tDo000000UaFNIA0,,
01tDo000000UZtCIAW,,
01tDo000000UZJBIA4,,
01tDo000000UaN8IAK,,
01tDo000000UaMqIAK,,
01tDo000000Ua2VIAS,,
01tDo000000Ua1sIAC,,
01tDo000000UZhZIAW,,
01tDo000000UZHOIA4,,
01tDo000000UZUIIA4,,
01tDo000000UaITIA0,,
01tDo000000UZx5IAG,,
01tDo000000UZwYIAW,,
01tDo000000UZkGIAW,,
01tDo000000UZcEIAW,,
01tDo000000UaIsIAK,,
01tDo000000UZysIAG,,
01tDo000000UZfZIAW,,
01tDo000000UaE9IAK,,
01tDo000000UZt4IAG,,
01tDo000000UaN1IAK,,
01tDo000000UZPIIA4,,
01tDo000000UZhNIAW,,
01tDo000000UaH9IAK,,
01tDo000000UZo5IAG,,
01tDo000000UaMiIAK,,
01tDo000000UaNuIAK,,
01tDo000000Ua2YIAS,,
01tDo000000Ua2LIAS,,
01tDo000000UZifIAG,,
01tDo000000UZiQIAW,,
01tDo000000UZUMIA4,,
01tDo000000UaILIA0,,
01tDo000000UZwSIAW,,
01tDo000000UZMjIAO,,
01tDo000000UZkPIAW,,
01tDo000000UZHrIAO,,
01tDo000000UZVgIAO,,
01tDo000000UaKDIA0,,
01tDo000000UZyZIAW,,
01tDo000000UZOHIA4,,
01tDo000000UZesIAG,,
01tDo000000UZetIAG,,
01tDo000000UaFPIA0,,
01tDo000000UaEwIAK,,
01tDo000000UZnmIAG,,
01tDo000000UZnlIAG,,
01tDo000000UaMtIAK,,
01tDo000000UaO4IAK,,
01tDo000000Ua1mIAC,,
01tDo000000Ua1lIAC,,
01tDo000000UZjNIAW,,
01tDo000000UZiZIAW,,
01tDo000000UaIRIA0,,
01tDo000000UaISIA0,,
01tDo000000UZMnIAO,,
01tDo000000Ua5rIAC,,
01tDo000000UZk0IAG,,
01tDo000000UZHlIAO,,
01tDo000000UaKHIA0,,
01tDo000000UaJrIAK,,
01tDo000000UZzhIAG,,
01tDo000000UZziIAG,,
01tDo000000UZfDIAW,,
01tDo000000UZg7IAG,,
01tDo000000UaFFIA0,,
01tDo000000UaEgIAK,,
01tDo000000UZniIAG,,
01tDo000000UZnOIAW,,
01tDo000000UaMlIAK,,
01tDo000000UaNhIAK,,
01tDo000000Ua1hIAC,,
01tDo000000Ua3mIAC,,
01tDo000000UZjGIAW,,
01tDo000000UZiCIAW,,
01tDo000000UaIKIA0,,
01tDo000000UaHMIA0,,
01tDo000000UZwIIAW,,
01tDo000000UZkJIAW,,
01tDo000000UaJwIAK,,
01tDo000000UZyRIAW,,
01tDo000000UZegIAG,,
01tDo000000UaFOIA0,,
01tDo000000UZJCIA4,,
01tDo000000UaMpIAK,,
01tDo000000Ua1rIAC,,
01tDo000000UZfzIAG,,
01tDo000000UaEhIAK,,
01tDo000000Ua9cIAC,,
01tDo000000UZJGIA4,,
01tDo000000UZnGIAW,,
01tDo000000UaNoIAK,,
01tDo000000UaNVIA0,,
01tDo000000Ua28IAC,,
01tDo000000Ua3YIAS,,
01tDo000000UZiLIAW,,
01tDo000000UZiMIAW,,
01tDo000000UaIcIAK,,
01tDo000000UaIDIA0,,
01tDo000000Ua5jIAC,,
01tDo000000Ua5XIAS,,
01tDo000000UZjxIAG,,
01tDo000000UZIDIA4,,
01tDo000000UaJpIAK,,
01tDo000000UaJiIAK,,
01tDo000000UZzZIAW,,
01tDo000000UZzFIAW,,
01tDo000000UZg6IAG,,
01tDo000000UZGEIA4,,
01tDo000000UaEjIAK,,
01tDo000000UZRJIA4,,
01tDo000000UZnSIAW,,
01tDo000000UZJ0IAO,,
01tDo000000UaNiIAK,,
01tDo000000UaNQIA0,,
01tDo000000Ua3nIAC,,
01tDo000000Ua3UIAS,,
01tDo000000UZiBIAW,,
01tDo000000UZHhIAO,,
01tDo000000UaI7IAK,,
01tDo000000UaHyIAK,,
01tDo000000Ua5SIAS,,
01tDo000000Ua57IAC,,
01tDo000000UZlIIAW,,
01tDo000000UZl0IAG,,
01tDo000000UaJgIAK,,
01tDo000000UaL9IAK,,
01tDo000000UZzCIAW,,
01tDo000000UZz5IAG,,
01tDo000000UZgEIAW,,
01tDo000000UZfyIAG,,
01tDo000000UaEnIAK,,
01tDo000000Ua9OIAS,,
01tDo000000UZnWIAW,,
01tDo000000UZovIAG,,
01tDo000000UaNsIAK,,
01tDo000000UaNLIA0,,
01tDo000000Ua3rIAC,,
01tDo000000Ua1nIAC,,
01tDo000000UZH9IAO,,
01tDo000000UZUuIAO,,
01tDo000000Ua5qIAC,,
01tDo000000UZk2IAG,,
01tDo000000UaJsIAK,,
01tDo000000UZO8IAO,,
01tDo000000UZg8IAG,,
01tDo000000UaEiIAK,,
01tDo000000UZnPIAW,,
01tDo000000UaL5IAK,,
01tDo000000UZzOIAW,,
01tDo000000Ua0yIAC,,
01tDo000000UZg2IAG,,
01tDo000000UZfvIAG,,
01tDo000000Ua9sIAC,,
01tDo000000Ua8zIAC,,
01tDo000000UZnNIAW,,
01tDo000000UZodIAG,,
01tDo000000UaNdIAK,,
01tDo000000UaP7IAK,,
01tDo000000Ua3kIAC,,
01tDo000000Ua39IAC,,
01tDo000000UZjgIAG,,
01tDo000000UZjXIAW,,
01tDo000000UaHwIAK,,
01tDo000000UaR1IAK,,
01tDo000000Ua55IAC,,
01tDo000000Ua4mIAC,,
01tDo000000UZkxIAG,,
01tDo000000UZklIAG,,
01tDo000000UaLFIA0,,
01tDo000000UaKvIAK,,
01tDo000000UZz6IAG,,
01tDo000000Ua0mIAC,,
01tDo000000UZfxIAG,,
01tDo000000UZfoIAG,,
01tDo000000Ua9NIAS,,
01tDo000000UaAAIA0,,
01tDo000000UZoqIAG,,
01tDo000000UZnbIAG,,
01tDo000000UZWvIAO,,
01tDo000000UaPQIA0,,
01tDo000000Ua3OIAS,,
01tDo000000Ua4fIAC,,
01tDo000000UZjcIAG,,
01tDo000000UZHFIA4,,
01tDo000000UaRZIA0,,
01tDo000000Ua4xIAC,,
01tDo000000Ua4vIAC,,
01tDo000000UZkqIAG,,
01tDo000000UZHyIAO,,
01tDo000000UaL1IAK,,
01tDo000000UaLvIAK,,
01tDo000000UZyxIAG,,
01tDo000000UZzGIAW,,
01tDo000000UZfwIAG,,
01tDo000000UZaTIAW,,
01tDo000000UZRCIA4,,
01tDo000000UaAIIA0,,
01tDo000000UZolIAG,,
01tDo000000UZnDIAW,,
01tDo000000UaNPIA0,,
01tDo000000Ua3VIAS,,
01tDo000000UZjmIAG,,
01tDo000000UaHxIAK,,
01tDo000000Ua58IAC,,
01tDo000000UZl1IAG,,
01tDo000000UaL8IAK,,
01tDo000000UZz7IAG,,
01tDo000000UZG8IAO,,
01tDo000000Ua5CIAS,,
01tDo000000UZkpIAG,,
01tDo000000UZIfIAO,,
01tDo000000UaKxIAK,,
01tDo000000UaMAIA0,,
01tDo000000Ua0rIAC,,
01tDo000000UZzXIAW,,
01tDo000000UZfuIAG,,
01tDo000000UZaaIAG,,
01tDo000000Ua8rIAC,,
01tDo000000Ua8UIAS,,
01tDo000000UZoaIAG,,
01tDo000000UZnwIAG,,
01tDo000000UaOzIAK,,
01tDo000000UaPYIA0,,
01tDo000000Ua2zIAC,,
01tDo000000Ua2wIAC,,
01tDo000000UZjVIAW,,
01tDo000000UZjLIAW,,
01tDo000000UaQqIAK,,
01tDo000000UaRkIAK,,
01tDo000000UZQBIA4,,
01tDo000000Ua5FIAS,,
01tDo000000UZkcIAG,,
01tDo000000UZIgIAO,,
01tDo000000UZVyIAO,,
01tDo000000UaMGIA0,,
01tDo000000Ua0eIAC,,
01tDo000000UZO9IAO,,
01tDo000000UZaRIAW,,
01tDo000000UZaeIAG,,
01tDo000000UaAEIA0,,
01tDo000000Ua8dIAC,,
01tDo000000UZngIAG,,
01tDo000000UZnqIAG,,
01tDo000000UaPTIA0,,
01tDo000000UaPiIAK,,
01tDo000000Ua2pIAC,,
01tDo000000Ua35IAC,,
01tDo000000UZjFIAW,,
01tDo000000UZrNIAW,,
01tDo000000UaRcIAK,,
01tDo000000UaRuIAK,,
01tDo000000Ua53IAC,,
01tDo000000Ua5NIAS,,
01tDo000000UZm8IAG,,
01tDo000000UZmlIAG,,
01tDo000000UaM1IAK,,
01tDo000000UaKTIA0,,
01tDo000000UZzLIAW,,
01tDo000000Ua01IAC,,
01tDo000000UZaWIAW,,
01tDo000000UZfmIAG,,
01tDo000000UaA9IAK,,
01tDo000000UZnZIAW,,
01tDo000000UaPOIA0,,
01tDo000000Ua4dIAC,,
01tDo000000UZixIAG,,
01tDo000000UaRXIA0,,
01tDo000000Ua4tIAC,,
01tDo000000UZkLIAW,,
01tDo000000UaLsIAK,,
01tDo000000UZrzIAG,,
01tDo000000UaRlIAK,,
01tDo000000UaQNIA0,,
01tDo000000Ua5KIAS,,
01tDo000000Ua5mIAC,,
01tDo000000UZmQIAW,,
01tDo000000UZmwIAG,,
01tDo000000UaMRIA0,,
01tDo000000UaKpIAK,,
01tDo000000UZzlIAG,,
01tDo000000UZuuIAG,,
01tDo000000UZafIAG,,
01tDo000000UZayIAG,,
01tDo000000Ua8gIAC,,
01tDo000000Ua9LIAS,,
01tDo000000UZo3IAG,,
01tDo000000UZq2IAG,,
01tDo000000UaPgIAK,,
01tDo000000UaQ1IAK,,
01tDo000000Ua34IAC,,
01tDo000000Ua3SIAS,,
01tDo000000UZrJIAW,,
01tDo000000UZrxIAG,,
01tDo000000UaRwIAK,,
01tDo000000UaQFIA0,,
01tDo000000Ua5QIAS,,
01tDo000000Ua5dIAC,,
01tDo000000UZmWIAW,,
01tDo000000UZmrIAG,,
01tDo000000UaKJIA0,,
01tDo000000UZVvIAO,,
01tDo000000UZzpIAG,,
01tDo000000UZuqIAG,,
01tDo000000UZalIAG,,
01tDo000000UZDyIAO,,
01tDo000000Ua8oIAC,,
01tDo000000Ua9BIAS,,
01tDo000000UZq5IAG,,
01tDo000000UZqDIAW,,
01tDo000000UaQ9IAK,,
01tDo000000UaOFIA0,,
01tDo000000Ua3bIAC,,
01tDo000000Ua3aIAC,,
01tDo000000UZs2IAG,,
01tDo000000UZsTIAW,,
01tDo000000UaQPIA0,,
01tDo000000UaQOIA0,,
01tDo000000Ua5lIAC,,
01tDo000000Ua7vIAC,,
01tDo000000UZmZIAW,,
01tDo000000UZmuIAG,,
01tDo000000UaKMIA0,,
01tDo000000UaMHIA0,,
01tDo000000UZzeIAG,,
01tDo000000UZagIAG,,
01tDo000000Ua8cIAC,,
01tDo000000UZnpIAG,,
01tDo000000UaPhIAK,,
01tDo000000Ua33IAC,,
01tDo000000UZrMIAW,,
01tDo000000UaRvIAK,,
01tDo000000Ua5MIAS,,
01tDo000000UaOEIA0,,
01tDo000000Ua3WIAS,,
01tDo000000UaDBIA0,,
01tDo000000UZroIAG,,
01tDo000000UZsAIAW,,
01tDo000000UaQGIA0,,
01tDo000000UaQxIAK,,
01tDo000000Ua5bIAC,,
01tDo000000Ua7WIAS,,
01tDo000000UZmnIAG,,
01tDo000000UZleIAG,,
01tDo000000UaKiIAK,,
01tDo000000UaKtIAK,,
01tDo000000UZvZIAW,,
01tDo000000UZasIAG,,
01tDo000000UZZQIA4,,
01tDo000000Ua98IAC,,
01tDo000000Ua9IIAS,,
01tDo000000UZqHIAW,,
01tDo000000UZqZIAW,,
01tDo000000UaOLIA0,,
01tDo000000UaOKIA0,,
01tDo000000Ua3tIAC,,
01tDo000000UaDMIA0,,
01tDo000000UZsIIAW,,
01tDo000000UZKsIAO,,
01tDo000000UaQdIAK,,
01tDo000000UaRBIA0,,
01tDo000000Ua7lIAC,,
01tDo000000Ua7iIAC,,
01tDo000000UZn7IAG,,
01tDo000000UZljIAG,,
01tDo000000UaKzIAK,,
01tDo000000UaL4IAK,,
01tDo000000UZvCIAW,,
01tDo000000UZDaIAO,,
01tDo000000Ua9qIAC,,
01tDo000000UZqOIAW,,
01tDo000000UaOaIAK,,
01tDo000000UaDAIA0,,
01tDo000000UZs8IAG,,
01tDo000000UaQyIAK,,
01tDo000000Ua86IAC,,
01tDo000000UZx6IAG,,
01tDo000000UaJKIA0,,
01tDo000000UaClIAK,,
01tDo000000UZd7IAG,,
01tDo000000UaRLIA0,,
01tDo000000UZsuIAG,,
01tDo000000UZIrIAO,,
01tDo000000Ua7yIAC,,
01tDo000000UZnIIAW,,
01tDo000000UZi2IAG,,
01tDo000000Ua3fIAC,,
01tDo000000UZw0IAG,,
01tDo000000UaMkIAK,,
01tDo000000UZJ9IAO,,
01tDo000000UZoxIAG,,
01tDo000000UZGnIAO,,
01tDo000000UZjCIAW,,
01tDo000000Ua3zIAC,,
01tDo000000Ua3QIAS,,
01tDo000000UZwmIAG,,
01tDo000000UZwQIAW,,
01tDo000000UaIJIA0,,
01tDo000000UaJcIAK,,
01tDo000000UZSSIA4,,
01tDo000000UaDbIAK,,
01tDo000000UZebIAG,,
01tDo000000UZeBIAW,,
01tDo000000UZYTIA4,,
01tDo000000UaSmIAK,,
01tDo000000UZsfIAG,,
01tDo000000UZtUIAW,,
01tDo000000UZm6IAG,,
01tDo000000UZmTIAW,,
01tDo000000UaMzIAK,,
01tDo000000UaMUIA0,,
01tDo000000UZoOIAW,,
01tDo000000UZogIAG,,
01tDo000000UZhbIAG,,
01tDo000000UZijIAG,,
01tDo000000Ua30IAC,,
01tDo000000Ua3DIAS,,
01tDo000000UZMxIAO,,
01tDo000000UZwaIAG,,
01tDo000000UaJIIA0,,
01tDo000000UaJEIA0,,
01tDo000000UaCaIAK,,
01tDo000000UZT5IAO,,
01tDo000000UZdnIAG,,
01tDo000000UZFKIA4,,
01tDo000000UaT0IAK,,
01tDo000000UaSTIA0,,
01tDo000000UZtdIAG,,
01tDo000000UZtZIAW,,
01tDo000000UZmiIAG,,
01tDo000000UZDqIAO,,
01tDo000000UaMcIAK,,
01tDo000000UaMYIA0,,
01tDo000000UZopIAG,,
01tDo000000UZoIIAW,,
01tDo000000UZj4IAG,,
01tDo000000UZipIAG,,
01tDo000000Ua2rIAC,,
01tDo000000Ua4bIAC,,
01tDo000000UZwwIAG,,
01tDo000000UZwfIAG,,
01tDo000000UaI9IAK,,
01tDo000000UaCCIA0,,
01tDo000000UZePIAW,,
01tDo000000UaScIAK,,
01tDo000000UZshIAG,,
01tDo000000UZmBIAW,,
01tDo000000UaN2IAK,,
01tDo000000UZoPIAW,,
01tDo000000UZhMIAW,,
01tDo000000UZtLIAW,,
01tDo000000UZmSIAW,,
01tDo000000UZa1IAG,,
01tDo000000UaMWIA0,,
01tDo000000UaO0IAK,,
01tDo000000UZooIAG,,
01tDo000000UZoAIAW,,
01tDo000000UZiuIAG,,
01tDo000000UZiVIAW,,
01tDo000000Ua3HIAS,,
01tDo000000Ua4LIAS,,
01tDo000000UZMfIAO,,
01tDo000000UZy6IAG,,
01tDo000000UaJRIA0,,
01tDo000000UaIlIAK,,
01tDo000000UaDSIA0,,
01tDo000000UZSsIAO,,
01tDo000000UZe0IAG,,
01tDo000000UZflIAG,,
01tDo000000UaSHIA0,,
01tDo000000UaSGIA0,,
01tDo000000UZtoIAG,,
01tDo000000UZtMIAW,,
01tDo000000UZa3IAG,,
01tDo000000UZa2IAG,,
01tDo000000UaMoIAK,,
01tDo000000UaO6IAK,,
01tDo000000UZoBIAW,,
01tDo000000UZoCIAW,,
01tDo000000UZjOIAW,,
01tDo000000UZiaIAG,,
01tDo000000Ua4SIAS,,
01tDo000000Ua4RIAS,,
01tDo000000UZwLIAW,,
01tDo000000UZyGIAW,,
01tDo000000UaIvIAK,,
01tDo000000UaIqIAK,,
01tDo000000UaDQIA0,,
01tDo000000UaDFIA0,,
01tDo000000UZffIAG,,
01tDo000000UZfLIAW,,
01tDo000000UaSEIA0,,
01tDo000000UaTdIAK,,
01tDo000000UZtGIAW,,
01tDo000000UZt2IAG,,
