Id,breadwinner_ns__TranDate__c
a9TDI000000D6xX2AS,2022-09-01
a9TDI000000D71y2AC,2022-09-01
a9TDI000000D6vc2AC,2022-09-01
a9TDI000000D6vl2AC,2022-09-01
a9TDI000000D6kZ2AS,2022-09-01
a9TDI000000D76p2AC,2022-09-01
a9TDI000000D6nY2AS,2022-09-01
a9TDI000000D7852AC,2022-09-01
a9TDI000000D78I2AS,2022-09-01
a9TDI000000D78L2AS,2022-09-01
a9TDI000000D7PQ2A0,2022-09-01
a9TDI000000D7872AC,2022-09-01
a9TDI000000D7K12AK,2022-09-01
a9TDI000000D7ES2A0,2022-09-01
a9TDI000000D7ET2A0,2022-09-01
a9TDI000000D7EV2A0,2022-09-01
a9TDI000000D7EX2A0,2022-09-01
a9TDI000000D6rj2AC,2022-09-01
a9TDI000000D7Yf2AK,2022-09-01
a9TDI000000D7Yg2AK,2022-09-01
a9TDI000000D7Eo2AK,2022-09-01
a9TDI000000D7O42AK,2022-09-01
a9TDI000000D7PA2A0,2022-09-01
a9TDI000000D7PB2A0,2022-09-01
a9TDI000000D7Z22AK,2022-09-01
a9TDI000000D7Z82AK,2022-09-01
a9TDI000000D7ku2AC,2022-09-01
a9TDI000000D7kz2AC,2022-09-01
a9TDI000000D77s2AC,2022-09-01
a9TDI000000D7eX2AS,2022-09-01
a9TDI000000D7ok2AC,2022-09-01
a9TDI000000D7bG2AS,2022-09-01
a9TDI000000D7or2AC,2022-09-01
a9TDI000000D7os2AC,2022-09-01
a9TDI000000D6sp2AC,2022-09-01
a9TDI000000D6UO2A0,2022-09-01
a9TDI000000D6U82AK,2022-09-01
a9TDI000000D6UC2A0,2022-09-01
a9TDI000000D6or2AC,2022-09-01
a9TDI000000D6p42AC,2022-09-01
a9TDI000000D6YK2A0,2022-09-01
a9TDI000000D76C2AS,2022-09-01
a9TDI000000D6XK2A0,2022-09-01
a9TDI000000D7AD2A0,2022-09-01
a9TDI000000D7bm2AC,2022-09-01
a9TDI000000D7bs2AC,2022-09-01
a9TDI000000D7d62AC,2022-09-01
a9TDI000000D7Gt2AK,2022-09-01
a9TDI000000D7A62AK,2022-09-01
a9TDI000000D80R2AS,2022-09-01
a9TDI000000D7I02AK,2022-09-01
a9TDI000000D7Kn2AK,2022-09-01
a9TDI000000D7L22AK,2022-09-01
a9TDI000000D7xe2AC,2022-09-01
a9TDI000000D7f22AC,2022-09-01
a9TDI000000D7D52AK,2022-09-01
a9TDI000000D7DO2A0,2022-09-01
a9TDI000000D7DU2A0,2022-09-01
a9TDI000000D7Cw2AK,2022-09-01
a9TDI000000D7Cz2AK,2022-09-01
a9TDI000000D8II2A0,2022-09-01
a9TDI000000D8Gl2AK,2022-09-01
a9TDI000000D8Gz2AK,2022-09-01
a9TDI000000D7Dr2AK,2022-09-01
a9TDI000000D7NC2A0,2022-09-01
a9TDI000000D7ZE2A0,2022-09-01
a9TDI000000D7mj2AC,2022-09-01
a9TDI000000D7ZO2A0,2022-09-01
a9TDI000000D7Px2AK,2022-09-01
a9TDI000000D7Q52AK,2022-09-01
a9TDI000000D7Q92AK,2022-09-01
a9TDI000000D7QA2A0,2022-09-01
a9TDI000000D7TO2A0,2022-09-01
a9TDI000000D7dV2AS,2022-09-01
a9TDI000000D7QM2A0,2022-09-01
a9TDI000000D7pf2AC,2022-09-01
a9TDI000000D7Ze2AK,2022-09-01
a9TDI000000D7pn2AC,2022-09-01
a9TDI000000D7Zm2AK,2022-09-01
a9TDI000000D7gV2AS,2022-09-01
a9TDI000000D7WY2A0,2022-09-01
a9TDI000000D7Wh2AK,2022-09-01
a9TDI000000D6zu2AC,2022-09-01
a9TDI000000D6zv2AC,2022-09-01
a9TDI000000D74H2AS,2022-09-01
a9TDI000000D6yz2AC,2022-09-01
a9TDI000000D74O2AS,2022-09-01
a9TDI000000D7II2A0,2022-09-01
a9TDI000000D7ag2AC,2022-09-01
a9TDI000000D7ah2AC,2022-09-01
a9TDI000000D7aj2AC,2022-09-01
a9TDI000000D7an2AC,2022-09-01
a9TDI000000D7pF2AS,2022-09-01
a9TDI000000D7L72AK,2022-09-01
a9TDI000000D7Up2AK,2022-09-01
a9TDI000000D7Ur2AK,2022-09-01
a9TDI000000D7LH2A0,2022-09-01
a9TDI000000D7b12AC,2022-09-01
a9TDI000000D7b32AC,2022-09-01
a9TDI000000D7V02AK,2022-09-01
a9TDI000000D7V62AK,2022-09-01
a9TDI000000D7V72AK,2022-09-01
a9TDI000000D7XK2A0,2022-09-01
a9TDI000000D7XU2A0,2022-09-01
a9TDI000000D6yV2AS,2022-09-01
a9TDI000000D7Qk2AK,2022-09-01
a9TDI000000D7Gi2AK,2022-09-01
a9TDI000000D8752AC,2022-09-01
a9TDI000000D87H2AS,2022-09-01
a9TDI000000D7sZ2AS,2022-09-01
a9TDI000000D81Q2AS,2022-09-01
a9TDI000000D81G2AS,2022-09-01
a9TDI000000D8GI2A0,2022-09-01
a9TDI000000D7wT2AS,2022-09-01
a9TDI000000D8GL2A0,2022-09-01
a9TDI000000D8GP2A0,2022-09-01
a9TDI000000D8xs2AC,2022-09-01
a9TDI000000D8xx2AC,2022-09-01
a9TDI000000D8Le2AK,2022-09-01
a9TDI000000D8mH2AS,2022-09-01
a9TDI000000D8im2AC,2022-09-01
a9TDI000000D8j32AC,2022-09-01
a9TDI000000D8j72AC,2022-09-01
a9TDI000000D8902AC,2022-09-01
a9TDI000000D89J2AS,2022-09-01
a9TDI000000D8c42AC,2022-09-01
a9TDI000000D8cA2AS,2022-09-01
a9TDI000000D8ZE2A0,2022-09-01
a9TDI000000D8ho2AC,2022-09-01
a9TDI000000D8hq2AC,2022-09-01
a9TDI000000D8ht2AC,2022-09-01
a9TDI000000D7gj2AC,2022-09-01
a9TDI000000D7fh2AC,2022-09-01
a9TDI000000D8Vn2AK,2022-09-01
a9TDI000000D8Vq2AK,2022-09-01
a9TDI000000D8Vu2AK,2022-09-01
a9TDI000000D7S12AK,2022-09-01
a9TDI000000D7SA2A0,2022-09-01
a9TDI000000D7aG2AS,2022-09-01
a9TDI000000D7aH2AS,2022-09-01
a9TDI000000D7aM2AS,2022-09-01
a9TDI000000D7aT2AS,2022-09-01
a9TDI000000D85E2AS,2022-09-01
a9TDI000000D85W2AS,2022-09-01
a9TDI000000D8T72AK,2022-09-01
a9TDI000000D8T82AK,2022-09-01
a9TDI000000D7Vt2AK,2022-09-01
a9TDI000000D7Vu2AK,2022-09-01
a9TDI000000D7Wn2AK,2022-09-01
a9TDI000000D7Wp2AK,2022-09-01
a9TDI000000D7Wq2AK,2022-09-01
a9TDI000000D7Ws2AK,2022-09-01
a9TDI000000D7W22AK,2022-09-01
a9TDI000000D7MV2A0,2022-09-01
a9TDI000000D7TB2A0,2022-09-01
a9TDI000000D7tX2AS,2022-09-01
a9TDI000000D8FI2A0,2022-09-01
a9TDI000000D8HH2A0,2022-09-01
a9TDI000000D8FP2A0,2022-09-01
a9TDI000000D8HJ2A0,2022-09-01
a9TDI000000D7k62AC,2022-09-01
a9TDI000000D7t42AC,2022-09-01
a9TDI000000D7VK2A0,2022-09-01
a9TDI000000D7Vd2AK,2022-09-01
a9TDI000000D7Ve2AK,2022-09-01
a9TDI000000D7Vi2AK,2022-09-01
a9TDI000000D7ca2AC,2022-09-01
a9TDI000000D7Sb2AK,2022-09-01
a9TDI000000D7Sc2AK,2022-09-01
a9TDI000000D7ir2AC,2022-09-01
a9TDI000000D7Xn2AK,2022-09-01
a9TDI000000D9ZP2A0,2022-09-01
a9TDI000000D9ZS2A0,2022-09-01
a9TDI000000D9cx2AC,2022-09-01
a9TDI000000D9cz2AC,2022-09-01
a9TDI000000D9sX2AS,2022-09-01
a9TDI000000D9d62AC,2022-09-01
a9TDI000000D9b32AC,2022-09-01
a9TDI000000D9bC2AS,2022-09-01
a9TDI000000D8hu2AC,2022-09-01
a9TDI000000D8hk2AC,2022-09-01
a9TDI000000D8i92AC,2022-09-01
a9TDI000000D8iE2AS,2022-09-01
a9TDI000000D8iF2AS,2022-09-01
a9TDI000000D83j2AC,2022-09-01
a9TDI000000D8iG2AS,2022-09-01
a9TDI000000D96U2AS,2022-09-01
a9TDI000000D8YO2A0,2022-09-01
a9TDI000000D8YQ2A0,2022-09-01
a9TDI000000D8YT2A0,2022-09-01
a9TDI000000D8YU2A0,2022-09-01
a9TDI000000D8YW2A0,2022-09-01
a9TDI000000D99P2AS,2022-09-01
a9TDI000000D8DQ2A0,2022-09-01
a9TDI000000D88U2AS,2022-09-01
a9TDI000000D8Ze2AK,2022-09-01
a9TDI000000D8Q22AK,2022-09-01
a9TDI000000D88m2AC,2022-09-01
a9TDI000000D8a12AC,2022-09-01
a9TDI000000D8OL2A0,2022-09-01
a9TDI000000D89w2AC,2022-09-01
a9TDI000000D8ET2A0,2022-09-01
a9TDI000000D8Ef2AK,2022-09-01
a9TDI000000D8Eh2AK,2022-09-01
a9TDI000000D8SY2A0,2022-09-01
a9TDI000000D8qk2AC,2022-09-01
a9TDI000000D8Sh2AK,2022-09-01
a9TDI000000D8Sk2AK,2022-09-01
a9TDI000000D8be2AC,2022-09-01
a9TDI000000D8bh2AC,2022-09-01
a9TDI000000D8bp2AC,2022-09-01
a9TDI000000D8SJ2A0,2022-09-01
a9TDI000000D8SL2A0,2022-09-01
a9TDI000000D8qa2AC,2022-09-01
a9TDI000000D8Wk2AK,2022-09-01
a9TDI000000D8Wq2AK,2022-09-01
a9TDI000000D8X72AK,2022-09-01
a9TDI000000D8sw2AC,2022-09-01
a9TDI000000D7cy2AC,2022-09-01
a9TDI000000D7cz2AC,2022-09-01
a9TDI000000D7vQ2AS,2022-09-01
a9TDI000000D7mE2AS,2022-09-01
a9TDI000000D7mX2AS,2022-09-01
a9TDI000000D7hX2AS,2022-09-01
a9TDI000000D7hb2AC,2022-09-01
a9TDI000000D7gC2AS,2022-09-01
a9TDI000000D7gF2AS,2022-09-01
a9TDI000000D86k2AC,2022-09-01
a9TDI000000D7rA2AS,2022-09-01
a9TDI000000D7rB2AS,2022-09-01
a9TDI000000D8132AC,2022-09-01
a9TDI000000D8102AC,2022-09-01
a9TDI000000D8Jh2AK,2022-09-01
a9TDI000000D8Ji2AK,2022-09-01
a9TDI000000D8K12AK,2022-09-01
a9TDI000000D9LH2A0,2022-09-01
a9TDI000000D95c2AC,2022-09-01
a9TDI000000D95f2AC,2022-09-01
a9TDI000000D9Uk2AK,2022-09-01
a9TDI000000D9Cu2AK,2022-09-01
a9TDI000000D9Uw2AK,2022-09-01
a9TDI000000D9Uj2AK,2022-09-01
a9TDI000000D9322AC,2022-09-01
a9TDI000000D9002AC,2022-09-01
a9TDI000000D9N82AK,2022-09-01
a9TDI000000D93b2AC,2022-09-01
a9TDI000000D9EG2A0,2022-09-01
a9TDI000000D9OU2A0,2022-09-01
a9TDI000000D93n2AC,2022-09-01
a9TDI000000D9FH2A0,2022-09-01
a9TDI000000D9FJ2A0,2022-09-01
a9TDI000000D9Ee2AK,2022-09-01
a9TDI000000D9Q82AK,2022-09-01
a9TDI000000D9Tw2AK,2022-09-01
a9TDI000000D9Tq2AK,2022-09-01
a9TDI000000D9952AC,2022-09-01
a9TDI000000D9Tm2AK,2022-09-01
a9TDI000000D99I2AS,2022-09-01
a9TDI000000DAvb2AG,2022-09-01
a9TDI000000D9542AC,2022-09-01
a9TDI000000DAPE2A4,2022-09-01
a9TDI000000DAPF2A4,2022-09-01
a9TDI000000D8sA2AS,2022-09-01
a9TDI000000D8tn2AC,2022-09-01
a9TDI000000D8Qd2AK,2022-09-01
a9TDI000000D8jd2AC,2022-09-01
a9TDI000000D8t32AC,2022-09-01
a9TDI000000D8tA2AS,2022-09-01
a9TDI000000D8jG2AS,2022-09-01
a9TDI000000D8jN2AS,2022-09-01
a9TDI000000D8jO2AS,2022-09-01
a9TDI000000D8rv2AC,2022-09-01
a9TDI000000D8jR2AS,2022-09-01
a9TDI000000D8jS2AS,2022-09-01
a9TDI000000D8jU2AS,2022-09-01
a9TDI000000D8tt2AC,2022-09-01
a9TDI000000D8tu2AC,2022-09-01
a9TDI000000D8tv2AC,2022-09-01
a9TDI000000D8uM2AS,2022-09-01
a9TDI000000D8yP2AS,2022-09-01
a9TDI000000D8yT2AS,2022-09-01
a9TDI000000D8u62AC,2022-09-01
a9TDI000000D9P22AK,2022-09-01
a9TDI000000D9SG2A0,2022-09-01
a9TDI000000D9SI2A0,2022-09-01
a9TDI000000D9SK2A0,2022-09-01
a9TDI000000D9iN2AS,2022-09-01
a9TDI000000D9P62AK,2022-09-01
a9TDI000000D9P82AK,2022-09-01
a9TDI000000D9SS2A0,2022-09-01
a9TDI000000D8kP2AS,2022-09-01
a9TDI000000D8kS2AS,2022-09-01
a9TDI000000D9Sb2AK,2022-09-01
a9TDI000000D9KB2A0,2022-09-01
a9TDI000000D9ie2AC,2022-09-01
a9TDI000000D9PF2A0,2022-09-01
a9TDI000000DA162AG,2022-09-01
a9TDI000000DA1L2AW,2022-09-01
a9TDI000000D92U2AS,2022-09-01
a9TDI000000DB5S2AW,2022-09-01
a9TDI000000DB5T2AW,2022-09-01
a9TDI000000DB5U2AW,2022-09-01
a9TDI000000D9uX2AS,2022-09-01
a9TDI000000D9uY2AS,2022-09-01
a9TDI000000DD0n2AG,2022-09-01
a9TDI000000DCuN2AW,2022-09-01
a9TDI000000DBKT2A4,2022-09-01
a9TDI000000DBKZ2A4,2022-09-01
a9TDI000000DC0v2AG,2022-09-01
a9TDI000000DAy82AG,2022-09-01
a9TDI000000DClz2AG,2022-09-01
a9TDI000000DARV2A4,2022-09-01
a9TDI000000DBFi2AO,2022-09-01
a9TDI000000D9Hk2AK,2022-09-01
a9TDI000000D9Hn2AK,2022-09-01
