External_Id__c,Name,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
EX-0000014,Separator,true,false,,All,false,,911,,sbToolSeparator,,Add Products,Quote,,Quote Line Editor,,,Separator,,
EX-0000015,Quick Save,true,false,quickSaveBtn,All,false,,912,onQuickSave,,,Quick Save,Quote,,Quote Line Editor,,,Button,,
EX-0000016,Calculate,true,false,calculateBtn,All,false,,913,onFlagCalculate,,,Calculate,Quote,,Quote Line Editor,,,Button,,
EX-0000017,Separator,true,false,,All,false,,914,,sbToolSeparator,,Add Products,Quote,,Quote Line Editor,,,Separator,,
EX-0000018,Cancel,true,false,cancelBtn,All,false,Return to Quote without saving,919,onCancel,sb-icon-cancel,cancel,Cancel,Quote,,Quote Line Editor,,,Button,,
EX-0000019,Save,true,true,saveBtn,All,false,,916,onSave,,,Save,Quote,,Quote Line Editor,,,Button,,
EX-0000020,Separator,true,false,,All,false,,918,,sbToolSeparator,,Add Products,Quote,,Quote Line Editor,,,Separator,,
EX-0000021,Delete Group,true,false,deleteGroupBtn,All,false,,951,onDeleteGroup,,,Delete Group,Group,,Quote Line Editor,,,Button,,
EX-0000022,Optional: All - Group,true,false,optionalAllBtn,All,false,,952,updateLineOptional,,,Optional: All,Group,,Quote Line Editor,,,Button,,
EX-0000023,Optional: None - Group,true,false,optionalNoneBtn,All,false,,953,updateLineOptional,,,Optional: None,Group,,Quote Line Editor,,,Button,,
EX-0000024,Reset Discounts - Group,true,false,resetDiscBtn,All,false,,954,onResetDiscounts,,,Reset Discounts,Group,,Quote Line Editor,,,Button,,
EX-0000025,Add To Favorites,true,false,addToFavBtn,All,false,,990,onAddToFavorites,sb-icon-star-empty,star-empty,Add To Favorites,Line,,Quote Line Editor,,,Button,,
EX-0000026,Remove From Favorites,true,false,removeFromFavBtn,All,false,,991,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,,Quote Line Editor,,,Button,,
EX-0000027,Reconfigure Line,true,false,reconfigureBtn,All,false,,992,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,,Quote Line Editor,,,Button,,
EX-0000028,Clone Line,true,false,cloneBtn,All,false,,993,onCloneLine,sf-icon-copy,copy,Clone Line,Line,,Quote Line Editor,,,Button,,
EX-0000029,Delete Line,true,false,deleteBtn,All,false,,994,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,,Quote Line Editor,,,Button,,
