External_Id__c,SBQQ__Product__r.External_ID__c,SBQQ__ProductFeature__r.External_ID__c,SBQQ__ProductRule__r.External_Id__c,SBQQ__Active__c,SBQQ__AscendingNestedLevel__c,SBQQ__DescendingActionNesting__c,SBQQ__DescendingNestedLevel__c
,EX-0010631,,,true,,,
,EX-0010772,a643J0000000vVaQAI,,true,,,
,EX-0010910,,,true,,,
,EX-0010910,,,false,,1,
,EX-0010908,,,true,,,
,EX-0010202,,,true,,,
,EX-0010612,,,true,,,
,EX-0010801,,,true,,,
,EX-0010512,,,true,,,
,EX-0010718,,,true,,,
